Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292688,13,Playhouse Patron,195.34,0,178.16,0,21.06,-0.000493653,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292689,14,Queen Alina,9.42,0,10.31,0,2.74,0.009163902,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292690,15,Tonis Spirit,189.68,0,135.95,0,17.15,-0.002083608,,
1/01/2024,Ascot,R8 2400m Grp2,8,223004309,64292691,16,Truly Inspired,183.9,0,110,0,22,-0.003653171,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,28281193,3,Brooklyn Pier,15.88,0,16.19,0,4.36,0.00120577,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,28541457,4,Hint Of Mint,18.49,0,14.5,0,3.25,-0.014882229,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,41375261,8,Cobbanco,27.96,0,33.42,0,6.6,0.005843177,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,43015777,1,Corn Cob,63.76,0,65,0,9.8,0.000299199,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,46837430,2,Playthatfunkymusic,9.68,0,9.2,0,2.74,-0.005389867,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,51179338,10,Rear Admiral,7.53,0,8.4,1,2.5,0.013754506,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,624596,6,Universal Flair,19.55,0,39.49,0,10.5,0.025828029,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,64343989,7,Hanchi,2.58,0,2.88,1,1.39,0.040374677,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,64343990,9,Deep Speed,41.55,0,69.65,0,13.5,0.009709887,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,64343991,11,Via Monte,26.27,0,24.84,0,6.82,-0.002191414,,
1/01/2024,Ascot,R9 1200m Hcap,9,223004316,64343992,12,Stormchaser,10.59,1,5.05,1,2.09,-0.103591096,,
1/01/2024,Burrumbeet,R1 1800m Mdn,1,223034918,42351127,10,Summer Light,169.21,0,220,1,26,0.001364362,,
1/01/2024,Burrumbeet,R1 1800m Mdn,1,223034918,42431656,2,New York Winter,30.36,0,54.89,0,7.96,0.014719822,,
1/01/2024,Burrumbeet,R1 1800m Mdn,1,223034918,46701722,8,Magic Opal,9.61,0,21,0,3.34,0.056439225,,
1/01/2024,Burrumbeet,R1 1800m Mdn,1,223034918,50758919,1,Gentacheeva,142.88,0,249.92,0,28,0.0029976,,
1/01/2024,Burrumbeet,R1 1800m Mdn,1,223034918,53913904,7,Fields Of Jenni,1.49,1,1.21,1,1.1,-0.155305341,,
1/01/2024,Burrumbeet,R1 1800m Mdn,1,223034918,56685005,9,Our Swan Song,6.55,0,8.8,0,1.9,0.039035392,,
1/01/2024,Burrumbeet,R1 1800m Mdn,1,223034918,64343428,3,Seeking Clarity,37.88,0,158.59,0,17.52,0.020093587,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,10804895,7,Rub Of The Green,16.56,0,15.91,0,2.99,-0.002467078,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,23719882,1,Handsome Hostage,171.62,0,309.7,0,25.03,0.002597895,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,62432743,8,Anglesea Tilda,3.63,0,3.68,0,1.37,0.003742963,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,63402575,3,Clear Mission,3.67,0,2.27,1,1.28,-0.16804907,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,64343430,2,War Songs,203.29,0,487.6,0,71.36,0.00286822,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,64343431,5,Heres To Jane,77.53,0,59.8,0,6.77,-0.003824175,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,64343432,6,Let Her Rain,6.12,1,7.18,1,1.8,0.024122927,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,64343433,9,Blessington,6.97,0,19.32,1,3.23,0.091712189,,
1/01/2024,Burrumbeet,R2 1000m Mdn,2,223034950,64343434,10,Midnight Poker,16.31,,,,,,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,1244901,5,Grand Illusion,25.71,0,75.73,0,8.8,0.025690565,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,42351526,11,Dashingdaria,146,0,290,0,25.97,0.003401039,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,499424,8,Intrusive,3.86,0,5.58,0,1.74,0.079855888,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,59453497,3,Lonjourno,3.03,0,1.69,1,1.2,-0.261682973,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,63893939,7,Precious Conflict,15.96,0,22,1,3.05,0.017202096,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,64343435,9,Glorious Machine,12.33,1,15.5,1,2.77,0.016586872,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,64343436,10,Hava Craicin Time,16.38,0,16.85,0,2.78,0.00170288,,
1/01/2024,Burrumbeet,R3 1350m Mdn,3,223034957,64343437,12,Prancingintherain,6.23,0,15,0,2.48,0.093846977,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,22255273,3,Fabians Spirit,7.42,0,6.67,0,2.18,-0.015154148,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,22397039,6,Copthorne,11.91,1,24,1,5.6,0.04229639,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,32456381,9,High Delta,9.08,0,11.5,0,2.83,0.023175637,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,38125230,7,Gem Edition,6.56,0,13,0,3.05,0.075515947,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,39811021,2,Caboteur,6.45,0,7.73,1,2.6,0.025672654,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,43858362,8,Epsom Magic,9.46,0,6.86,1,2.78,-0.04006435,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,44993921,1,Lovano,13.6,0,4.8,0,1.89,-0.134803922,,
1/01/2024,Burrumbeet,R4 1350m Hcap,4,223034964,64343439,4,Sir William Bruce,5.42,0,6.68,0,2.34,0.034801246,,
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,36581396,2,Fantastic Baby,187.45,0,85.54,0,27.35,-0.006355681,,
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,45319809,5,Tatsuro,13.28,0,15,1,5.24,0.008634538,,
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,46292045,8,Pontificate,5.49,0,8.62,0,3.4,0.066140082,,
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,46520415,1,Sold Tha Car,5.6,0,6.4,0,2.54,0.022321429,,
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,64343440,3,Kathys Beau,4.97,1,7.56,1,2.87,0.068932111,,
1/01/2024,Burrumbeet,R5 1350m Hcap,5,223034971,64343441,4,Sistine Explorer,2.8,0,1.99,0,1.39,-0.145369706,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,17873592,4,Diplomac Jack,7.09,0,7.6,0,2.5,0.009464776,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,22721457,7,Davelliom,56.56,0,100,0,15.05,0.007680339,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,26083247,3,Ziggi Rocks,6.18,1,12,1,3.15,0.078478964,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,28331724,9,Little Richie Turf,61.86,0,90,0,12.54,0.005054424,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,36700977,5,Bannerton,4.53,0,4,1,1.56,-0.029249448,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,40061996,2,Equine Philosopher,11.68,0,7.89,0,2.32,-0.041126274,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,41774543,10,Ahtohallan,180.98,0,298.87,0,46,0.002179536,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,49807124,8,Jackand,6.55,0,5.82,1,1.85,-0.01914955,,
1/01/2024,Burrumbeet,R6 1800m Hcap,6,223034978,51295207,1,Extra Elusive,5.03,0,5,0,2.08,-0.001192843,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,19818340,2,Daskulya,3.77,0,4.6,1,1.79,0.047860685,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,20600124,3,Foxys Star,21.64,0,33.63,0,6.6,0.016475366,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,22552493,13,Unique Bambino,9.68,0,6.65,0,2.34,-0.047070155,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,24503196,5,Magestic Diva,5.54,0,8.45,0,2.56,0.06216222,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,27463704,8,Minifinn,11.38,0,18,0,4.55,0.032317907,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,28101682,6,Dupie Doll,20.53,0,10.5,1,3.35,-0.046528889,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,41930204,1,Black Banjo,12.65,1,16.12,1,3.8,0.017016644,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,51982346,10,Go Gurda,55.77,0,27.59,0,7,-0.018314229,,
1/01/2024,Burrumbeet,R7 1000m Hcap,7,223034985,62393952,11,Onepointsevengone,5.84,0,4.07,0,1.72,-0.074467369,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,2460644,7,Royal Promise,70.1,0,126.03,0,18.7,0.006330716,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,51957788,5,Dark Lever,190.01,0,240,0,34,0.001096214,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,55132183,12,Royale Veloute,11.79,0,9.72,1,2.33,-0.018063016,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,56090114,1,Counter,3.5,0,3.69,1,1.52,0.014711576,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,57078143,2,Suit Of Armour,2.79,1,2.83,1,1.32,0.005066049,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,58600690,10,Glory Start,33.43,0,38.77,0,6.22,0.004120113,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,64342656,3,Two Questions,6.77,0,7.43,0,2.2,0.013120985,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,7431039,9,Sir Maurice,32.12,0,27.1,0,6.6,-0.005767119,,
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,9612139,4,Bonaventure,23.33,0,17.5,0,4.03,-0.014279591,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,57563499,7,I Am Famous,7.01,0,17.5,0,2.72,0.085510495,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,63122341,9,Kickamushu,45.5,0,48.63,1,4.72,0.001414584,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342659,2,Cintia,31.08,0,79.29,0,10,0.019563101,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342661,4,Equipage,5.62,0,7.61,0,1.57,0.046529898,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342663,6,Hellbent On You,7.45,0,10,0,1.95,0.034228188,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342664,10,Kitty Chat,2.28,1,1.59,1,1.17,-0.190334326,,
