Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
3/03/2023,Thoroughbred,NSW,Newcastle,Linton Chataway,210691591,8917140,back,FALSE,Back WIN #7 Iron Man,Iron Man,0,5.56,-1.00,-1.00,0.22
3/03/2023,Thoroughbred,NSW,Newcastle,Linton Chataway,210691597,53147843,back,FALSE,Back WIN #11 Pizarro,Pizarro,0,12.93,-1.00,-1.00,0.08
3/03/2023,Thoroughbred,NSW,Newcastle,Linton Chataway,210691599,49332237,back,TRUE,Back WIN #7 Shohei,Shohei,1,4.40,3.40,3.40,-1.00
3/03/2023,Thoroughbred,NZ,Te Rapa,Mitchell Davis,210734570,43166837,back,FALSE,Back WIN #3 High Choice,High Choice,0,8.26,-1.00,-1.00,0.14
4/03/2023,Harness,QLD,Albion Park,Ryan Spice,210711040,40608166,back,TRUE,Back #2 Uptown B,Uptown Beachgirl,1,2.32,1.32,1.32,-1.00
4/03/2023,Harness,QLD,Albion Park,Ryan Spice,210711046,27483298,back,FALSE,Back WIN #10 Soextra,Soextra,0,3.05,-1.00,-1.00,0.49
4/03/2023,Harness,QLD,Albion Park,Ryan Spice,210711049,41385683,back,FALSE,Back WIN #4 THC,The High Commander,0,5.44,-1.00,-1.00,0.23
4/03/2023,Harness,QLD,Albion Park,Ryan Spice,210711061,53102413,back,TRUE,Back WIN #1 Gwyneth,Gwyneth P,1,2.02,1.02,1.02,-1.00
4/03/2023,Thoroughbred,QLD,Eagle Farm,Shane Ciurleo,210692721,6607564,back,TRUE,Back WIN #1 Hard To Say,Hard To Say,0,4.70,-1.00,-1.00,0.27
4/03/2023,Thoroughbred,QLD,Eagle Farm,Shane Ciurleo,210692721,23390444,lay,FALSE,Lay WIN #3 Beast Mode,Beast Mode,0,4.20,0.31,-1.00,0.31
4/03/2023,Thoroughbred,QLD,Eagle Farm,Shane Ciurleo,210692721,53148535,back,TRUE,Back WIN #8 Spirit Quee,Spirit Queen,0,8.29,-1.00,-1.00,0.14
4/03/2023,Thoroughbred,QLD,Eagle Farm,Shane Ciurleo,210692725,53148536,back,FALSE,Back WIN #1 Tavi Time,Tavi Time,0,3.15,-1.00,-1.00,0.46
4/03/2023,Thoroughbred,QLD,Eagle Farm,Shane Ciurleo,210692737,28466740,lay,TRUE,Lay WIN #6 Namazu,Namazu,0,5.91,0.20,-1.00,0.20
4/03/2023,Thoroughbred,QLD,Eagle Farm,Shane Ciurleo,210692745,41398055,back,FALSE,Back WIN #1 Hilal,Hilal,0,3.00,-1.00,-1.00,0.50
4/03/2023,Thoroughbred,VIC,Flemington,Anthony Jupp,210695320,43836764,lay,TRUE,Lay WIN #4 So Unusual,So Unusual,1,3.66,-1.00,2.66,-1.00
4/03/2023,Thoroughbred,VIC,Flemington,Barry Cook,210695355,49740178,lay,TRUE,Lay WIN #1 Jacquinot,Jacquinot,0,2.95,0.51,-1.00,0.51
4/03/2023,Thoroughbred,VIC,Flemington,Bella Anderson,210695341,51295402,lay,FALSE,Lay Munhamek,Munhamek,1,4.82,-1.00,3.82,-1.00
4/03/2023,Thoroughbred,VIC,Flemington,Bella Anderson,210695355,49740178,back,FALSE,Back Jacquinot,Jacquinot,0,2.95,-1.00,-1.00,0.51
4/03/2023,Thoroughbred,VIC,Flemington,Dean Evans,210695355,1093634,back,FALSE,Back WIN #2 Elliptical,Elliptical,0,6.80,-1.00,-1.00,0.17
4/03/2023,Thoroughbred,VIC,Flemington,Dean Evans,210695355,52670635,back,FALSE,Back WIN #13 Holymanz,Holymanz,0,25.57,-1.00,-1.00,0.04
4/03/2023,Thoroughbred,VIC,Flemington,Dean Evans,210695355,53148333,back,FALSE,Back WIN #6 The Fortune,The Fortune Teller,0,44.67,-1.00,-1.00,0.02
4/03/2023,Thoroughbred,VIC,Flemington,Glenn Ingram,210695320,51615888,back,TRUE,Back WIN #5 Timour,Timour,0,3.17,-1.00,-1.00,0.46
4/03/2023,Thoroughbred,VIC,Flemington,Glenn Ingram,210695341,51295402,lay,TRUE,Lay WIN #4 Munhamek,Munhamek,1,4.82,-1.00,3.82,-1.00
4/03/2023,Thoroughbred,VIC,Flemington,Glenn Ingram,210695348,53148320,back,FALSE,Back EW #3 Sebonack,Sebonack,0,3.27,-1.00,-1.00,0.44
4/03/2023,Thoroughbred,VIC,Flemington,Jackson Oldham,210695320,51615888,back,TRUE,Back WIN #5 Timour,Timour,0,3.17,-1.00,-1.00,0.46
4/03/2023,Thoroughbred,VIC,Flemington,Jackson Oldham,210695341,51295402,lay,TRUE,Lay WIN #4 Munhamek,Munhamek,1,4.82,-1.00,3.82,-1.00
4/03/2023,Thoroughbred,VIC,Flemington,Jonathan Walsh,210695341,2384996,lay,TRUE,Lay WIN #8 Kettle Hill,Kettle Hill,0,4.10,0.32,-1.00,0.32
4/03/2023,Thoroughbred,VIC,Flemington,Nat Hinkley,210695355,49740178,lay,TRUE,Lay WIN #1 Jacquinot,Jacquinot,0,2.95,0.51,-1.00,0.51
4/03/2023,Thoroughbred,VIC,Flemington,Norm Oke,210695341,2384996,lay,TRUE,Lay WIN #8 Kettle Hill,Kettle Hill,0,4.10,0.32,-1.00,0.32
4/03/2023,Thoroughbred,VIC,Flemington,Ray Swannie,210695356,49740178,lay,TRUE,Lay PLACE #1 Jacquinot,Jacquinot,0,1.73,1.36,-1.00,1.36
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695334,53148317,back,FALSE,Back EW #11 ARTIC FAIRY,Arctic Fairy,1,3.31,2.31,2.31,-1.00
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695341,2384996,lay,FALSE,Lay WIN #8 KETTLE HILL,Kettle Hill,0,4.10,0.32,-1.00,0.32
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695348,53148320,back,TRUE,Back #3 SEBONACK,Sebonack,0,9.67,-1.00,-1.00,0.12
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695348,53148328,back,FALSE,Back #16 NANAGUI,Nanagui,0,18.00,-1.00,-1.00,0.06
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695348,53148329,lay,FALSE,Lay WIN #17 CYTHERA,Cythera,0,8.88,0.13,-1.00,0.13
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695355,49740178,back,FALSE,Back #1 JAQUINOT,Jacquinot,0,2.95,-1.00,-1.00,0.51
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695355,53148333,back,FALSE,Back #6 THE FORTUNE TEL,The Fortune Teller,0,44.67,-1.00,-1.00,0.02
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695362,38092316,back,FALSE,Back WIN #4 GENTLEMAN ROY,Gentleman Roy,0,3.13,-1.00,-1.00,0.47
4/03/2023,Thoroughbred,VIC,Flemington,Tom Haylock,210695362,49949258,back,FALSE,Back #7 UNCLE BRYN,Uncle Bryn,0,7.12,-1.00,-1.00,0.16
4/03/2023,Thoroughbred,,Meydan,Rory Flanagan,210718336,39439338,back,FALSE,Back WIN #6 Kemari,Kemari,0,3.21,-1.00,-1.00,0.45
4/03/2023,Thoroughbred,,Meydan,Rory Flanagan,210718346,11017870,back,FALSE,Back WIN #5 Could Be Ki,Could Be King,0,8.13,-1.00,-1.00,0.14
4/03/2023,Thoroughbred,,Meydan,Rory Flanagan,210718346,23798668,back,FALSE,Back WIN #3 City Walk,City Walk,0,6.07,-1.00,-1.00,0.20
4/03/2023,Thoroughbred,,Meydan,Rory Flanagan,210718361,25001355,back,FALSE,Back WIN #2 Al Suhail,Al Suhail,1,1.77,0.77,0.77,-1.00
4/03/2023,Thoroughbred,,Meydan,Rory Flanagan,210718366,36517475,back,TRUE,Back WIN #12 Real World,Real World,0,2.83,-1.00,-1.00,0.55
4/03/2023,Thoroughbred,,Meydan,Rory Flanagan,210718371,4954627,back,FALSE,Back WIN #3 Isolate,Isolate,0,3.24,-1.00,-1.00,0.45
4/03/2023,Thoroughbred,SA,Murray Bridge,Curly Seal,210695988,42560848,lay,TRUE,Lay WIN #1 Elite Icon,Elite Icon,0,2.10,0.91,-1.00,0.91
4/03/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,210695970,40336723,back,FALSE,Back EW #3 My Khalifa,My Khalifa,0,1.80,-1.00,-1.00,1.25
4/03/2023,Thoroughbred,SA,Murray Bridge,Lachlan Mosley,210695982,2544746,back,TRUE,Back WIN #1 Tacito,Tacito,1,2.29,1.29,1.29,-1.00
