Date,Track,Race Name,Race,MarketID,SelectionID,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,64342656,3,Two Questions,2,0,7.43,0,2.2
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,9612139,4,Bonaventure,3,0,17.5,0,4.03
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,56090114,1,Counter,4,0,3.69,1,1.52
1/01/2024,Canterbury,R1 1900m Mdn,1,222975977,55132183,12,Royale Veloute,5,0,9.72,1,2.33
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342661,4,Equipage,1,0,7.61,0,1.57
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,57563499,7,I Am Famous,2,0,17.5,0,2.72
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342664,10,Kitty Chat,3,1,1.59,1,1.17
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342663,6,Hellbent On You,4,0,10,0,1.95
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342659,2,Cintia,5,0,79.29,0,10
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342672,10,Viaconi,1,0,1.78,0,1.14
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,2290676,7,Ravenclaw,2,0,5.33,1,1.62
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,4567523,11,Wipeout,3,0,21.61,0,3.94
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342671,6,Maracaibo Sun,4,0,15.44,1,3.49
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,2918568,9,Val Disere,5,0,28.52,0,4.33
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,47240779,6,Castillian,1,0,5.14,0,2.23
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,25462994,8,Lancaster Bomber,2,1,9.34,1,2.8
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,2197659,2,Capital Asset,3,0,13.5,0,3.45
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,56807291,1,Huon,4,0,9.79,0,3
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,64342673,3,Amati,5,0,5.3,0,2.18
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342679,9,Utopian Wine,1,0,5.16,1,1.91
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,49807639,5,Lalaguna,2,0,15.59,0,4.46
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,63083970,3,Hellfire Express,3,1,8.15,1,2.6
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342675,4,Ballistic Therapy,4,0,7.6,0,2.97
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342680,10,How Much Better,5,0,12,0,3.13
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,64342682,1,Yankee Hussel,1,1,5.6,1,2.24
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,49039746,6,Ring Ahoy,2,0,4.8,1,1.81
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,2322849,5,Brynner,3,0,12.93,0,3.35
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,52841659,3,Genetic Freak,4,0,7.18,0,2.63
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,64342683,7,Venetian Blue,5,0,6.57,0,2.52
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,64342686,6,Brudenell,1,0,4.64,0,1.64
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,52670717,5,Zou Tiger,2,0,6.03,0,1.93
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,49297322,4,Sinawann,3,0,5.6,0,1.92
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,64342687,10,King Of Hastings,4,0,11.54,1,2.95
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,52013952,1,Insurrection,5,1,5.2,1,2
1/01/2024,Canterbury,R8 1100m Hcap,8,222976033,64084402,3,Global Empire,1,0,7.2,0,2.36
1/01/2024,Canterbury,R8 1100m Hcap,8,222976033,64205887,11,Fire Star,2,0,4.6,1,2.3
1/01/2024,Canterbury,R8 1100m Hcap,8,222976033,56644679,8,Shezanalister,3,1,6.74,1,2.52
1/01/2024,Canterbury,R8 1100m Hcap,8,222976033,64342690,13,To The Extreme,4,0,6.15,0,2.43
1/01/2024,Canterbury,R8 1100m Hcap,8,222976033,1388232,5,Tamaroa,5,0,17.5,0,4.26
1/01/2024,Flemington,R1 1100m Hcap,1,222975912,64343036,1,Midtown Boss,1,1,2.26,1,1.3
1/01/2024,Flemington,R1 1100m Hcap,1,222975912,64343038,4,Mornington Glory,2,0,4.36,1,1.5
1/01/2024,Flemington,R1 1100m Hcap,1,222975912,1236965,10,Coriolis,3,0,7.7,0,2.28
1/01/2024,Flemington,R1 1100m Hcap,1,222975912,38687860,5,Daily Bugle,4,0,15.11,0,3.35
1/01/2024,Flemington,R1 1100m Hcap,1,222975912,64343040,8,Cavallo Rampante,5,0,24.89,1,4.33
1/01/2024,Flemington,R2 1400m 3yo,2,222975920,64343043,2,Carrazana,1,0,4.71,0,1.86
1/01/2024,Flemington,R2 1400m 3yo,2,222975920,64343044,3,Ginger N Pink,2,0,3.14,1,1.45
1/01/2024,Flemington,R2 1400m 3yo,2,222975920,3698611,1,Nation State,3,0,17,0,3.93
1/01/2024,Flemington,R2 1400m 3yo,2,222975920,62098130,6,Loose On Gin,4,0,36.67,0,7
1/01/2024,Flemington,R2 1400m 3yo,2,222975920,51936069,4,Altruist,5,0,9.87,0,2.8
1/01/2024,Flemington,R3 1600m Hcap,3,222975928,54974241,3,Kings Taj,1,0,7.8,0,3.58
1/01/2024,Flemington,R3 1600m Hcap,3,222975928,64343050,11,The Claimant,2,0,12.92,1,4
1/01/2024,Flemington,R3 1600m Hcap,3,222975928,43857702,9,Mr Trafficanti,3,0,6.74,0,2.27
1/01/2024,Flemington,R3 1600m Hcap,3,222975928,60264756,1,Magnupur,4,1,6.7,1,2.39
1/01/2024,Flemington,R3 1600m Hcap,3,222975928,63824231,4,Aperitivo,5,0,5.93,0,2.26
1/01/2024,Flemington,R4 1700m Hcap,4,222975936,64343052,3,Hard Squeeze,1,0,7.3,0,2.38
1/01/2024,Flemington,R4 1700m Hcap,4,222975936,60735137,10,Aria Electra,2,0,5.27,1,2.09
1/01/2024,Flemington,R4 1700m Hcap,4,222975936,5285607,9,Uniquely,3,0,30,0,9.4
1/01/2024,Flemington,R4 1700m Hcap,4,222975936,64343053,5,Starianne,4,0,11,1,2.84
1/01/2024,Flemington,R4 1700m Hcap,4,222975936,55534118,13,Daiya,5,0,14.92,0,4.51
1/01/2024,Flemington,R5 1800m Hcap,5,222975944,28276397,3,Hasseltoff,1,0,19.38,0,5.09
1/01/2024,Flemington,R5 1800m Hcap,5,222975944,43035115,8,Texas Tea,2,0,5.32,1,2.19
1/01/2024,Flemington,R5 1800m Hcap,5,222975944,55206287,7,Oceans Above,3,0,7.8,1,2.9
1/01/2024,Flemington,R5 1800m Hcap,5,222975944,1375365,14,Star Vega,4,0,12.24,0,3.9
1/01/2024,Flemington,R5 1800m Hcap,5,222975944,49145019,12,My Brothers Keeper,5,0,10.5,0,3.5
1/01/2024,Flemington,R6 2800m Listed,6,222975952,64343058,8,Glentaneous,1,1,2.88,1,1.39
1/01/2024,Flemington,R6 2800m Listed,6,222975952,4841629,2,Regal Power,2,0,17.67,0,4.08
1/01/2024,Flemington,R6 2800m Listed,6,222975952,64343059,9,Im A Dirty Rascal,3,0,6.37,0,1.96
1/01/2024,Flemington,R6 2800m Listed,6,222975952,44063115,6,Ruling,4,0,3.79,0,1.5
1/01/2024,Flemington,R6 2800m Listed,6,222975952,21813008,1,Amade,5,0,15.42,1,4.16
