EVENT_DATE,PATH,GROUP,STATE,EVENT_ID,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,IS_WINNER,BEST_BACK_PRICE_60_MIN_PRIOR,BEST_LAY_PRICE_60_MIN_PRIOR,IMPLIED_PROB,MATCHED_VOLUME_60_MIN_PRIOR,TOTAL_MATCHED_VOLUME,LAST_PREPLAY_PRICE
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,196967407,Seat of Kooyong,2049782,Coalition,0,1.41,1.6,71%,59682.07,59851.18,1.6
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,196967407,Seat of Kooyong,3789290,The Greens,0,40,,3%,59.45,59.45,120
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,196967407,Seat of Kooyong,1111887,Any Other Party,0,200,,1%,7.11,7.11,200
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,196967407,Seat of Kooyong,8498800,Independent,1,2.8,3.6,36%,15649.09,15773.69,2.66
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,196967407,Seat of Kooyong,2049781,Labor,0,100,,1%,31.96,31.96,120
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197297471,Seat of La Trobe,2049782,Coalition,1,1.16,1.3,86%,1505.54,1505.54,1.25
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197297471,Seat of La Trobe,2365174,Any Other Party or Independent,0,20,,5%,6.24,6.24,17.5
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197297471,Seat of La Trobe,2049781,Labor,0,4.4,,23%,248.61,248.61,5.8
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919176,Seat of Lalor,2049781,Labor,1,1.01,1.04,99%,8759.47,8859.47,1.01
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919176,Seat of Lalor,2365174,Any Other Party or Independent,0,16,,6%,,,
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241025,Seat of Leichhardt,2049782,Coalition,1,1.35,1.74,74%,628.17,628.17,1.35
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241025,Seat of Leichhardt,2365174,Any Other Party or Independent,0,30,,3%,,,
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241025,Seat of Leichhardt,2049781,Labor,0,2.7,,37%,508,508,3
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197298238,Seat of Lilley,2049781,Labor,1,1.08,1.19,93%,2987.68,2987.68,1.08
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197298238,Seat of Lilley,2365174,Any Other Party or Independent,0,30,,3%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197298238,Seat of Lilley,2049782,Coalition,0,6.6,,15%,,,
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238603,Seat of Lindsay,2049782,Coalition,1,1.52,1.9,66%,973.22,973.22,1.5
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238603,Seat of Lindsay,2365174,Any Other Party or Independent,0,30,,3%,24,24,32
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197238603,Seat of Lindsay,2049781,Labor,0,2.4,,42%,10,10,2.46
2022-05-25 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NT,31356100,197241250,Seat of Lingiari,2049781,Labor,1,1.32,,76%,9889.85,9889.85,1.41
2022-05-25 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NT,31356100,197241250,Seat of Lingiari,2049782,Coalition,0,3,3.4,33%,1524.43,1524.43,3.4
2022-05-25 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NT,31356100,197241250,Seat of Lingiari,2365174,Any Other Party or Independent,0,30,,3%,1,1,30
2022-05-25 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241026,Seat of Longman,2049782,Coalition,1,1.9,2.3,53%,662.53,662.53,1.9
2022-05-25 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241026,Seat of Longman,2049781,Labor,0,1.77,,56%,699.69,699.69,2.02
2022-05-25 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197241026,Seat of Longman,2365174,Any Other Party or Independent,0,13,,8%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917076,Seat of Lyne,2049782,Coalition,1,1.01,1.03,99%,5667.86,5667.86,1.02
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917076,Seat of Lyne,2365174,Any Other Party or Independent,0,15,,7%,,,
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,TAS,31356090,197241220,Seat of Lyons,2049781,Labor,1,1.05,1.35,95%,6947.23,6947.23,1.25
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,TAS,31356090,197241220,Seat of Lyons,15328795,Jacqui Lambie Network,0,38,,3%,,,
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,TAS,31356090,197241220,Seat of Lyons,3789290,The Greens,0,16,,6%,,,
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,TAS,31356090,197241220,Seat of Lyons,2365174,Any Other Party or Independent,0,60,,2%,,,
2022-05-26 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,TAS,31356090,197241220,Seat of Lyons,2049782,Coalition,0,4,8,25%,761.13,766.13,4
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917077,Seat of Macarthur,2049781,Labor,1,1.01,,99%,8627.23,8627.23,1.02
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917077,Seat of Macarthur,2365174,Any Other Party or Independent,0,30,,3%,10,10,36
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197917077,Seat of Macarthur,2049782,Coalition,0,30,,3%,,,
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298492,Seat of Mackellar,2049782,Coalition,0,1.55,1.75,65%,3458.69,3683.18,1.71
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298492,Seat of Mackellar,1111887,Any Other Party,0,30,,3%,2.2,2.96,30
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298492,Seat of Mackellar,8498800,Independent,1,2.32,,43%,1307.87,1361.32,2.4
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298492,Seat of Mackellar,2049781,Labor,0,30,,3%,2.2,2.96,30
2022-05-30 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197295959,Seat of Macnamara,2049781,Labor,1,1.07,,93%,7655.49,8617,1.07
2022-05-30 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197295959,Seat of Macnamara,3789290,The Greens,0,6.6,,15%,185.64,215.65,6.6
2022-05-30 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197295959,Seat of Macnamara,2365174,Any Other Party or Independent,0,60,,2%,,,
2022-05-30 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197295959,Seat of Macnamara,2049782,Coalition,0,20,,5%,1.44,1.44,1000
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298489,Seat of Macquarie,2049781,Labor,1,1.2,1.5,83%,119.09,119.09,1.21
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298489,Seat of Macquarie,2049782,Coalition,0,4,7.6,25%,93.88,93.88,4
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,NSW,31355970,197298489,Seat of Macquarie,2365174,Any Other Party or Independent,0,30,,3%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919267,Seat of Makin,2049781,Labor,1,1.02,1.07,98%,10371.31,10371.31,1.02
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919267,Seat of Makin,3789290,The Greens,0,25,,4%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919267,Seat of Makin,2365174,Any Other Party or Independent,0,17,,6%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919267,Seat of Makin,2049782,Coalition,0,15,,7%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919177,Seat of Mallee,2049782,Coalition,1,1.01,,99%,6244.98,6244.98,1.03
