Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Michael Tye,5/06/2026,Bendigo,EXPERT TIPS,FALSE,Greyhounds,6,6,BACK,WIN,$3.00,6. Midnight Phantom ,3,BEST BET,258884348,92967387,8,0,2.95,-3.00,0.00,-3.00
Michael Tye,5/06/2026,Bendigo,EXPERT TIPS,FALSE,Greyhounds,9,2,LAY,WIN,$4.40,2. Amron Toy ,2,,258884363,89593120,8,0,2.55,1.19,1.19,0.00
Rory Flanagan,5/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,1,6,BACK,WIN,,Naanas Shadow,2,,258862167,82514069,6,1,5.64,8.72,8.72,0.00
Rory Flanagan,5/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,1,14,BACK,WIN,,Alfa Duplicate,1,,258862167,83917095,6,0,19.5,-1.00,-1.00,0.00
Rory Flanagan,5/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,2,5,BACK,WIN,,Possessive,3,,258862176,5917427,6,0,3.8,-3.00,-3.00,0.00
Rory Flanagan,5/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,3,4,BACK,WIN,,Persica,3,,258862183,27619890,6,0,4,-3.00,-3.00,0.00
Rory Flanagan,5/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,4,16,BACK,WIN,,Sallaal,2,,258862197,74990349,6,1,3.79,5.25,5.25,0.00
Rory Flanagan,5/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,5,2,BACK,WIN,,Amelia Earhart,4,BEST BET,258862190,15996,6,0,3.05,-4.00,-4.00,-4.00
Rory Flanagan,5/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,6,12,BACK,WIN,$2.70,Celeborn,5,BEST BET,258862213,70430550,6,0,6.2,-5.00,-5.00,-5.00
Brett & Darren Carroll,5/06/2026,Geelong,EXPERT TIPS,FALSE,Harness,3,4,BACK,WIN,$1.80,4. With Aplomb,3,BEST BET,258879089,71724267,8,1,1.91,2.51,2.51,2.51
Brett & Darren Carroll,5/06/2026,Geelong,EXPERT TIPS,FALSE,Harness,5,2,BACK,WIN,$2.50,2. Look At Her,1,,258879095,934470,8,0,4.06,-1.00,-1.00,0.00
Brett & Darren Carroll,5/06/2026,Geelong,EXPERT TIPS,FALSE,Harness,7,8,BACK,WIN,$2.00,8. Remembrance Time,2,,258879101,99172351,8,1,2.17,2.15,2.15,0.00
Brett & Darren Carroll,5/06/2026,Geelong,EXPERT TIPS,FALSE,Harness,9,6,BACK,WIN,$1.40,6. Bond Girl,2,,258879107,39509306,8,1,1.55,1.01,1.01,0.00
Scott Hill,5/06/2026,Gloucester Park,EXPERT TIPS,FALSE,Harness,3,1,BACK,WIN,$2.50,1. Spyglass,2,,258885002,5099973,8,1,4.4,6.26,6.26,0.00
Scott Hill,5/06/2026,Gloucester Park,EXPERT TIPS,FALSE,Harness,4,4,BACK,WIN,$3.30,4. Mad Monday,1,,258885005,69422472,8,0,6.49,-1.00,-1.00,0.00
Scott Hill,5/06/2026,Gloucester Park,EXPERT TIPS,FALSE,Harness,5,4,BACK,WIN,$3.00,4. Im Massimo,1,,258885008,71872096,8,0,3.7,-1.00,-1.00,0.00
Scott Hill,5/06/2026,Gloucester Park,EXPERT TIPS,FALSE,Harness,6,4,BACK,WIN,$2.20,4. Gully Gum,2,,258885011,49244835,8,1,1.85,1.56,0.00,0.00
Scott Hill,5/06/2026,Gloucester Park,EXPERT TIPS,FALSE,Harness,7,12,BACK,WIN,$3.30,12. Kinky,1,,258885014,72383609,8,0,2.47,-1.00,0.00,0.00
Scott Hill,5/06/2026,Gloucester Park,EXPERT TIPS,FALSE,Harness,8,9,BACK,WIN,$1.85,9. American Eyes,3,BEST BET,258885017,99182096,8,1,1.87,2.40,2.40,2.40
Scott Hill,5/06/2026,Gloucester Park,EXPERT TIPS,FALSE,Harness,9,2,LAY,WIN,$3.00,2. Double Parked,3,,258885020,1106153,8,1,2.3,-3.00,-3.00,0.00
Will Norman,5/06/2026,Newcastle,EXPERT TIPS,FALSE,Harness,2,5,LAY,WIN,$6.00,5. Carramar Olam,1,,258878439,70929432,8,0,5.6,0.20,0.20,0.00
Will Norman,5/06/2026,Newcastle,EXPERT TIPS,FALSE,Harness,3,5,LAY,WIN,$2.50,5. Saint Crusader,1,,258878442,3552185,8,1,2.22,-1.00,-1.00,0.00
Will Norman,5/06/2026,Newcastle,EXPERT TIPS,FALSE,Harness,5,5,BACK,WIN,$5.00,5. Lockitineddy,1,,258878448,78792242,8,0,5.62,-1.00,-1.00,0.00
Will Norman,5/06/2026,Newcastle,EXPERT TIPS,FALSE,Harness,6,4,BACK,WIN,$5.00,4. War Western,1,,258878451,46814991,8,0,4.2,-1.00,0.00,0.00
Will Norman,5/06/2026,Newcastle,EXPERT TIPS,FALSE,Harness,8,4,BACK,WIN,$1.70,4. Lachies Ideal,2,BEST BET,258878457,82592175,8,0,2.06,-2.00,-2.00,-2.00
Jackson Oldham,5/06/2026,Swan Hill,EXPERT TIPS,FALSE,Thoroughbred,3,3,BACK,WIN,$2.10,3. Aqua Storm,2,BEST BET,258850904,3663352,8,0,2.38,-2.00,-2.00,-2.00
Ryan Spice,6/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,2,5,BACK,WIN,$1.40,5. Sweet On Lexy,5,BEST BET,258890913,71598641,8,1,1.16,0.74,0.00,0.74
Ryan Spice,6/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,3,1,BACK,PLACE,$1.90,1. Flying Colours,2,,258890917,3810463,8,1,1.72,1.32,0.00,0.00
Ryan Spice,6/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,4,6,BACK,PLACE,$2.00,6. Attachment,2,,258890920,46946842,8,1,2.26,2.32,2.32,0.00
Ryan Spice,6/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,6,2,LAY,PLACE,$4.00,2. Punters Jewel,1,BEST BET,258890926,70593965,8,0,7,0.15,0.00,0.15
Ryan Spice,6/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,7,1,BACK,PLACE,$1.80,1. Tremendous Sensation,2,,258890929,71374522,8,1,1.3,0.55,0.00,0.00
Ryan Spice,6/06/2026,Albion Park,EXPERT TIPS,FALSE,Harness,8,2,BACK,WIN,$1.80,2. Luvareschs,3,,258890931,52407256,8,1,1.18,0.50,0.00,0.00
Terry Leighton,6/06/2026,Belmont,EXPERT TIPS,FALSE,Thoroughbred,1,4,BACK,WIN,$2.90,4. Overdrive,1,,258852366,4021256,8,0,2.72,-1.00,0.00,0.00
Terry Leighton,6/06/2026,Belmont,EXPERT TIPS,FALSE,Thoroughbred,1,2,BACK,WIN,$5.60,2. Empress Of India,1,,258852366,63552378,8,1,8.32,6.73,6.73,0.00
Terry Leighton,6/06/2026,Belmont,EXPERT TIPS,FALSE,Thoroughbred,10,15,BACK,WIN,$2.50,15. Like Clockwork,3,,258852447,5370535,8,0,3.2,-3.00,-3.00,0.00
Terry Leighton,6/06/2026,Belmont,EXPERT TIPS,FALSE,Thoroughbred,4,2,BACK,WIN,$1.70,2. Mr Karadec,4,BEST BET,258852393,99207878,8,0,2.1,-4.00,-4.00,-4.00
Terry Leighton,6/06/2026,Belmont,EXPERT TIPS,FALSE,Thoroughbred,6,4,BACK,WIN,$2.25,4. Poblano,2,,258852411,7880696,8,1,2.48,2.72,2.72,0.00
Terry Leighton,6/06/2026,Belmont,EXPERT TIPS,FALSE,Thoroughbred,9,3,BACK,WIN,$3.30,3. Charino,3,BEST BET,258852438,93240259,8,1,5.1,11.32,11.32,11.32
Terry Leighton,6/06/2026,Belmont,EXPERT TIPS,FALSE,Thoroughbred,9,11,BACK,WIN,$3.30,11. Nicciana,1,BEST BET,258852438,99207903,8,0,3.03,-1.00,0.00,-1.00
Trent Crebbin,6/06/2026,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,7,4,BACK,WIN,$4.00,4. Sun God,2,,258852293,92460161,8,0,5.61,-2.00,-2.00,0.00
Trent Crebbin,6/06/2026,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,8,1,BACK,WIN,$3.30,1. Panova,3,,258852302,99171656,8,0,4.89,-3.00,-3.00,0.00
Trent Crebbin,6/06/2026,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,8,11,BACK,WIN,$9.00,11. Parvenu ,1,,258852302,748533,8,0,9.73,-1.00,-1.00,0.00
Trent Crebbin,6/06/2026,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,9,10,BACK,WIN,$4.00,10. King Of Sparta,3,,258852311,99207115,8,0,11,-3.00,-3.00,0.00
Tom Haylock,6/06/2026,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,9,10,BACK,WIN,,10. King Of Sparta,2,BEST BET,258852311,99207115,8,0,11,-2.00,-2.00,-2.00
Trent Crebbin,6/06/2026,Eagle Farm,EXPERT TIPS,FALSE,Thoroughbred,9,4,BACK,WIN,$9.00,4. Zou Sensation,1,,258852311,45919500,8,0,14.72,-1.00,-1.00,0.00
Rory Flanagan,6/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,1,5,BACK,WIN,,Never So Brave,4,,258889431,57419600,6,0,3.35,-4.00,-4.00,0.00
Rory Flanagan,6/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,2,1,BACK,WIN,,Sparks Fly,3,,258889438,799025,6,1,4.35,9.45,9.45,0.00
Rory Flanagan,6/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,3,5,BACK,WIN,,Jan Brueghel,3,,258889444,44868,6,0,3.8,-3.00,-3.00,0.00
Rory Flanagan,6/06/2026,Epsom,EXPERT TIPS,TRUE,Thoroughbred,8,3,BACK,WIN,,Fine Interview,4,BEST BET,258889476,60661825,6,0,3.44,-4.00,-4.00,-4.00
Ben Asgari,6/06/2026,Flemington,EXPERT TIPS,FALSE,Thoroughbred,2,13,LAY,WIN,$5.00,13. Madiyya,2,,258850815,99207165,8,0,6.1,0.36,0.00,0.00
Trent Crebbin,6/06/2026,Flemington,EXPERT TIPS,FALSE,Thoroughbred,2,13,BACK,WIN,$3.25,13. Madiyya,2,,258850815,99207165,8,0,6.1,-2.00,-2.00,0.00
Trent Crebbin,6/06/2026,Flemington,EXPERT TIPS,FALSE,Thoroughbred,3,1,BACK,WIN,$3.50,1. Flying Done,2,BEST BET,258854432,90886273,8,0,5.4,-2.00,-2.00,-2.00
Ben Asgari,6/06/2026,Flemington,EXPERT TIPS,FALSE,Thoroughbred,5,1,BACK,WIN,$6.00,1. Miss Aria,1,,258850842,69642891,8,0,6.2,-1.00,-1.00,0.00
Ben Asgari,6/06/2026,Flemington,EXPERT TIPS,FALSE,Thoroughbred,5,1,BACK,PLACE,$6.00,1. Miss Aria,1,,258850843,69642891,8,0,1.86,-1.00,0.00,0.00
Ben Asgari,6/06/2026,Flemington,EXPERT TIPS,FALSE,Thoroughbred,6,4,BACK,WIN,$3.50,4. Elouyou,3,BEST BET,258850851,63161551,8,0,5.82,-3.00,-3.00,-3.00
Ben Asgari,6/06/2026,Flemington,EXPERT TIPS,FALSE,Thoroughbred,6,9,BACK,WIN,$3.50,9. Spione,3,BEST BET,258850851,76659085,8,0,3.56,-3.00,-3.00,-3.00
Brett & Darren Carroll,6/06/2026,Melton,EXPERT TIPS,FALSE,Harness,3,2,BACK,WIN,$1.80,2. Prettyboy Harry,3,BEST BET,258890888,59724081,8,0,2.03,-3.00,-3.00,-3.00
Brett & Darren Carroll,6/06/2026,Melton,EXPERT TIPS,FALSE,Harness,4,9,BACK,WIN,$2.00,9. Sweet Ideal,1,,258890891,84401472,8,0,5.8,-1.00,-1.00,0.00
Brett & Darren Carroll,6/06/2026,Melton,EXPERT TIPS,FALSE,Harness,6,4,BACK,WIN,$2.20,4. Ringer Wells,1,,258890897,81186888,8,0,3.44,-1.00,-1.00,0.00
Brett & Darren Carroll,6/06/2026,Melton,EXPERT TIPS,FALSE,Harness,7,5,BACK,WIN,$1.80,5. Luvtobeuptome,3,,258890900,86018686,8,1,1.98,2.70,2.70,0.00
Brett & Darren Carroll,6/06/2026,Melton,EXPERT TIPS,FALSE,Harness,9,2,BACK,WIN,$1.60,2. Dynamitedan,2,,258890906,99172398,8,1,1.39,0.72,0.00,0.00
Will Norman,6/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,2,1,BACK,WIN,$2.00,1. Cynical,2,,258890857,6683696,8,0,2.48,-2.00,-2.00,0.00
Will Norman,6/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,3,1,LAY,WIN,$3.50,1. Happy Too Ya,1,,258890860,73378354,8,0,11.23,0.09,0.00,0.00
Will Norman,6/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,4,5,BACK,WIN,$3.50,5. Frankiromar,1,,258890863,86034989,8,1,4.8,3.50,3.50,0.00
Will Norman,6/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,6,1,LAY,WIN,$5.00,1. Soho Americano,1,,258890869,81780426,8,0,4.9,0.24,0.24,0.00
Will Norman,6/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,7,6,BACK,WIN,$1.70,6. Zeus Lightning,2,BEST BET,258890872,86555842,8,0,2.06,-2.00,-2.00,-2.00
Will Norman,6/06/2026,Menangle,EXPERT TIPS,FALSE,Harness,8,8,LAY,WIN,$6.00,8. Draw a Dream,1,,258890875,95816515,8,0,9.01,0.11,0.00,0.00
Lachlan Mosley,6/06/2026,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,2,6,BACK,WIN,,6. Navy Rok ,2,,258850961,99206646,8,0,5.76,-2.00,-2.00,0.00
Lachlan Mosley,6/06/2026,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,2,6,BACK,PLACE,,6. Navy Rok ,2,,258850962,99206646,8,0,2.21,-2.00,-2.00,0.00
Lachlan Mosley,6/06/2026,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,3,8,BACK,WIN,,8. Skadoosh,2,,258850970,91432430,8,0,6.35,-2.00,-2.00,0.00
Lachlan Mosley,6/06/2026,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,3,8,BACK,PLACE,,8. Skadoosh,2,,258850971,91432430,8,1,2.11,2.04,2.04,0.00
Lachlan Mosley,6/06/2026,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,5,4,BACK,WIN,,4. Halliwell,2,,258850988,696959,8,0,7,-2.00,-2.00,0.00
