DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit,
20/10/2023,Taree,Jack Franklyn,219889897,61371368,Back,Back 10. Midori Glory,Midori Glory,1,3.34,2.34,2.34,-1.00,
21/10/2023,Albion Park,Ryan Spice,219935202,22290575,Lay,Lay 6. Sugarinspice,6. Sugarinspice,0,10.48,0.11,-1.00,0.11,
21/10/2023,Albion Park,Ryan Spice,219935205,39287665,Back,Back 10. Winona Writer,10. Winona Writer,0,5.84,-1.00,-1.00,0.21,
21/10/2023,Albion Park,Ryan Spice,219935211,58856034,Back,Back 2. Always Smokin,Always Smokin,1,1.78,0.78,0.78,-1.00,
21/10/2023,Ascot,Rory Flanagan,219940674,21155037,Back,Back Trueshan,Trueshan,0,4.10,-1.00,-1.00,0.32,
21/10/2023,Ascot,Rory Flanagan,219940681,26340381,Back,Back Kinross,Kinross,0,2.42,-1.00,-1.00,0.70,
21/10/2023,Ascot,Rory Flanagan,219940688,49957056,Back,Back Jackie Oh,Jackie Oh,0,4.20,-1.00,-1.00,0.31,
21/10/2023,Ascot,Rory Flanagan,219940695,46949627,Back,Back Tahiyra,Tahiyra,0,5.11,-1.00,-1.00,0.24,
21/10/2023,Ascot,Rory Flanagan,219940708,34193267,Back,Back Raadobarg,Raadobarg,0,19.00,-1.00,-1.00,0.06,
21/10/2023,Cannington,Jaycin Campbell,219970940,46810141,Back,Back 3. Solidified,Solidified,1,1.87,0.87,0.87,-1.00,
21/10/2023,Cannington,Jaycin Campbell,219970945,47208548,Back,Back 4. Haras Skipper,Haras Skipper,1,1.95,0.95,0.95,-1.00,
21/10/2023,Cannington,Jaycin Campbell,219970960,43986089,Back,Back 8. Hinto,Hinto,0,2.95,-1.00,-1.00,0.51,
21/10/2023,Cannington,Jaycin Campbell,219970965,61933208,Lay,Lay 8. Ghost Emoji,Ghost Emoji,0,4.50,0.29,-1.00,0.29,
