DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,best_bet,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit
5/04/2023,Ipswich,Shane Ciurleo,212303547,48401406,Back,Back WIN #7 Simple Way,1,Simple Way,0,2.09763329,-1,-1,0.911051085
5/04/2023,Ipswich,Shane Ciurleo,212303551,43058014,Lay,Lay WIN #2 Galifinakis,2,Galifianakis,1,2.41755473,-1,1.41755473,-1
5/04/2023,Ipswich,Shane Ciurleo,212303571,54339865,Back,Back WIN #4 Ravaged Awa,1,Ravaged Award,0,4.11078281,-1,-1,0.321462494
5/04/2023,Ipswich,Cam O'Brien,212303572,49949149,Lay,Lay PLACE #2 Carribean,2,Carribean King,0,1.98339036,1.01689018,-1,1.01689018
5/04/2023,Ballarat,Jackson Oldham,212303576,3687080,Back,Back WIN #2 Critique,1,Critique,1,2.90481135,1.90481135,1.90481135,-1
5/04/2023,Ballarat,Punters.Com.Au,212303576,3687080,Lay,Lay WIN #2 Critique,2,Critique,1,2.90481135,-1,1.90481135,-1
5/04/2023,Ballarat,Trevor Lawson,212303621,3352752,Lay,Lay WIN #4 Patrick,2,Patrick,0,4.05843113,0.326965021,-1,0.326965021
5/04/2023,Ballarat,Jackson Oldham,212303630,54339829,Back,Back WIN #7 Rylov,2,Rylov,0,2.34,-1,-1,0.746268657
5/04/2023,Hawkesbury,Linton Chataway,212304788,38629757,Back,Back WIN #1 Californian,1,Californian,0,2.89440824,-1,-1,0.527869326
5/04/2023,Hawkesbury,Chris Camilleri,212304791,54339881,Lay,Lay PLACE #2 Beautiful,2,Beautiful Heart,1,1.77646952,-1,0.77646952,-1
5/04/2023,Hawkesbury,Linton Chataway,212304792,54339881,Back,Back WIN #2 BH,1,Beautiful Heart,1,4.7685005,3.7685005,3.7685005,-1
5/04/2023,Hawkesbury,Linton Chataway,212304792,54339883,Lay,Lay WIN #6 Ocean Honour,2,Ocean Honour,0,8.06586483,0.141525492,-1,0.141525492
5/04/2023,Hawkesbury,Mark Rhoden,212304800,754219,Lay,Lay WIN #8 Compassionat,2,Compassionate,0,2.94453788,0.514261003,-1,0.514261003
5/04/2023,Hawkesbury,Linton Chataway,212304804,54339889,Lay,Lay WIN #4 Jupitus,1,Jupitus,0,23.40824726,0.044626427,-1,0.044626427
5/04/2023,Hawkesbury,Linton Chataway,212304808,54339893,Back,Back WIN #3 Olentia,2,Olentia,1,2.05200983,1.05200983,1.05200983,-1
5/04/2023,Hawkesbury,Marc Lambourne,212304808,54339893,Lay,Lay WIN #3 Olentia,2,Olentia,1,2.05200983,-1,1.05200983,-1
5/04/2023,Belmont,Daniel Cripps,212306797,54340201,Lay,Lay PLACE #3 Private Sa,2,Private Sapling,1,1.87,-1,0.87,-1
6/04/2023,Pakenham,Betfair,212353599,53913897,Lay,Lay WIN #4 Starwisp,1,Starwisp,0,8.51698071,0.133032136,-1,0.133032136
6/04/2023,Pakenham,Jackson Oldham,212353599,54368174,Lay,Lay WIN #6 Transzam,2,Transzam,0,7.41823187,0.15580615,-1,0.15580615
6/04/2023,Pakenham,Jackson Oldham,212353623,54368191,Back,Back WIN #5 Lady Jones,2,Lady Jones,1,2.74645901,1.74645901,1.74645901,-1
6/04/2023,Wyong,Linton Chataway,212353641,53184135,Back,Back WIN #1 Gulf Of Panama,2,Gulf Of Panama,0,4.4,-1,-1,0.294117647
6/04/2023,Wyong,Linton Chataway,212353645,54368019,Back,Back WIN #9 Aunt Robert,1,Aunt Roberta,0,2.48,-1,-1,0.675675676
6/04/2023,Wyong,Linton Chataway,212353647,46701279,Lay,Lay WIN #5 Queenmaker,2,Queenmaker,0,4.24774251,0.307906183,-1,0.307906183
6/04/2023,Wyong,Linton Chataway,212353649,54368024,Back,Back WIN #4 Lehndorff,1,Lehndorff,0,4.69960054,-1,-1,0.270299452
5/04/2023,Rockhampton,Jaycin Campbell,212356071,40659167,Back,Back WIN #6 PML,2,Pixie My Love,0,2.22813845,-1,-1,0.814240447
5/04/2023,Rockhampton,Jaycin Campbell,212356083,48756502,Lay,Lay WIN #5 PP,2,Pitter Patter,0,4.6,0.277777778,-1,0.277777778
5/04/2023,Rockhampton,Jaycin Campbell,212356095,44620241,Back,Back WIN #1 Bank Heist,1,Bank Heist,0,10.5,-1,-1,0.105263158
5/04/2023,Rockhampton,Jaycin Campbell,212356116,54109212,Back,Back WIN #7 AW,1,Atomic Warren,0,3.2,-1,-1,0.454545455
5/04/2023,Geelong,Michael Tye,212356126,53883811,Back,Back WIN #7 In The Bug,1,In The Bug,0,2.61546384,-1,-1,0.61901726
5/04/2023,Geelong,Michael Tye,212356129,48553096,Back,Back WIN #7 Golden Stat,1,Golden State,0,2.05308352,-1,-1,0.949592298
5/04/2023,Geelong,Michael Tye,212356132,54368631,Back,Back WIN #7 Squiggly Pa,1,Squiggly Papa,1,2.75556422,1.75556422,1.75556422,-1
5/04/2023,Geelong,Michael Tye,212356135,44620205,Lay,Lay WIN #1 Rothwell Random,2,Rothwell Random,0,3.74881668,0.363792903,-1,0.363792903
5/04/2023,Geelong,Michael Tye,212356144,51270458,Back,Back WIN #8 Carry On Jill,2,Carry On Jill,1,3.39244582,2.39244582,2.39244582,-1
5/04/2023,Geelong,Michael Tye,212356156,46810129,Back,Back WIN #1 Who Told Jo,1,Who Told John,0,8.54912117,-1,-1,0.13246575
5/04/2023,Geelong,Michael Tye,212356159,39530268,Back,Back WIN #8 Coco Lily,1,Coco Lilly,0,9.48308989,-1,-1,0.117881575
8/04/2023,Randwick,Anthony Jupp,212357536,39065409,Lay,Lay WIN #1 Anamoe,2,Anamoe,0,3.54031825,0.393651465,-1,0.393651465
8/04/2023,Randwick,Barry Cook,212357536,39065409,Lay,Lay WIN #1 Anamoe,2,Anamoe,0,3.54031825,0.393651465,-1,0.393651465
8/04/2023,Randwick,Bella Anderson,212357536,39065409,Back,Back WIN #1 Anamoe,1,Anamoe,0,3.54031825,-1,-1,0.393651465
8/04/2023,Randwick,Dean Evans,212357536,54368217,Back,Back WIN #2 Dubai Honou,1,Dubai Honour,1,2.36713639,1.36713639,1.36713639,-1
8/04/2023,Randwick,Dean Evans,212357536,54368220,Back,Back WIN #7 Unicorn Lio,1,Unicorn Lion,0,10.273295,-1,-1,0.107836535
8/04/2023,Randwick,Dean Evans,212357536,54368218,Back,Back WIN #3 Alenquer,1,Alenquer,0,24.55706572,-1,-1,0.042450109
8/04/2023,Randwick,Dean Evans,212357536,54368219,Back,Back WIN #6 Numerian,1,Numerian,0,36.63690491,-1,-1,0.028060798
8/04/2023,Randwick,Linton Chataway,212357536,39065409,Lay,Lay WIN #1 Anamoe,2,Anamoe,0,3.54031825,0.393651465,-1,0.393651465
8/04/2023,Randwick,Tom Haylock,212357536,54368217,Back,Back WIN #2 DUBAI HONOUR,1,Dubai Honour,1,2.36713639,1.36713639,1.36713639,-1
8/04/2023,Randwick,Tom Haylock,212357536,39065409,Lay,Lay WIN #1 ANAMOE,1,Anamoe,0,3.54031825,0.393651465,-1,0.393651465
8/04/2023,Randwick,Dean Evans,212357540,54368226,Back,Back WIN #11 Cleveland,1,Cleveland,0,3.96270234,-1,-1,0.337529689
8/04/2023,Randwick,Dean Evans,212357540,14593677,Back,Back WIN #1 Gold Trip,1,Gold Trip,0,9.22033481,-1,-1,0.121649546
8/04/2023,Randwick,Dean Evans,212357540,54368224,Back,Back WIN #3 Baron Samed,1,Baron Samedi,0,11.95813017,-1,-1,0.091256445
8/04/2023,Randwick,Dean Evans,212357540,28339556,Back,Back WIN #12 High Emoce,1,High Emocean,0,12,-1,-1,0.090909091
8/04/2023,Randwick,Dean Evans,212357540,6884677,Back,Back WIN #7 Surefire,1,Surefire,0,18.84179363,-1,-1,0.056048177
8/04/2023,Randwick,Linton Chataway,212357540,54368226,Back,Back WIN #11 Cleveland,1,Cleveland,0,3.96270234,-1,-1,0.337529689
8/04/2023,Randwick,Linton Chataway,212357540,14593677,Lay,Lay WIN #1 Gold Trip,1,Gold Trip,0,9.22033481,0.121649546,-1,0.121649546
8/04/2023,Randwick,Tom Haylock,212357540,54368226,Lay,Lay WIN #11 CLEVELAND,1,Cleveland,0,3.96270234,0.337529689,-1,0.337529689
8/04/2023,Randwick,Dean Evans,212357544,49740167,Back,Back WIN #2 Pavitra,1,Pavitra,0,4.42886888,-1,-1,0.291641365
8/04/2023,Randwick,Dean Evans,212357544,54368234,Back,Back WIN #1 Pennyweka,1,Pennyweka,1,4.6374447,3.6374447,3.6374447,-1
8/04/2023,Randwick,Dean Evans,212357544,48489476,Back,Back WIN #8 So Dazzling,1,So Dazzling,0,18.69808335,-1,-1,0.056503294
8/04/2023,Randwick,Linton Chataway,212357544,49740167,Back,Back WIN #2 Pavitra,1,Pavitra,0,4.42886888,-1,-1,0.291641365
8/04/2023,Randwick,Tom Haylock,212357544,381770,Back,Back #5 ARTS,1,Arts,0,5.2968402,-1,-1,0.232729158
8/04/2023,Randwick,Tom Haylock,212357544,49740167,Lay,Lay #2 PAVITRA,1,Pavitra,0,4.42886888,0.291641365,-1,0.291641365
8/04/2023,Randwick,Tom Haylock,212357544,54368236,Back,Back #6 PIEROSSA,1,Pierossa,0,13,-1,-1,0.083333333
8/04/2023,Randwick,Linton Chataway,212357548,5211865,Back,Back WIN #1 Alcohol Fre,1,Alcohol Free,0,3.85744251,-1,-1,0.349963296
8/04/2023,Randwick,Tom Haylock,212357548,5211865,Back,Back WIN #1 ALCOHOL FREE,1,Alcohol Free,0,3.85744251,-1,-1,0.349963296
8/04/2023,Randwick,Linton Chataway,212357551,54368250,Back,Back PLACE #12 Wee Ness,1,Wee Nessy,1,2.76,1.76,1.76,-1
8/04/2023,Randwick,Dave Dwyer,212357552,47392975,Lay,Lay WIN #1 Aft Cabin,2,Aft Cabin,1,2.78988259,-1,1.78988259,-1
8/04/2023,Randwick,Dean Evans,212357552,47392975,Back,Back WIN #1 Aft Cabin,1,Aft Cabin,1,2.78988259,1.78988259,1.78988259,-1
8/04/2023,Randwick,Dean Evans,212357552,47786860,Back,Back WIN #2 Zou Tiger,1,Zou Tiger,0,7.8,-1,-1,0.147058824
8/04/2023,Randwick,Norm Oke,212357552,47392975,Lay,Lay WIN #1 Aft Cabin,2,Aft Cabin,1,2.78988259,-1,1.78988259,-1
8/04/2023,Randwick,Tom Haylock,212357552,47392975,Back,Back #1 AFT CABIN,1,Aft Cabin,1,2.78988259,1.78988259,1.78988259,-1
8/04/2023,Randwick,Tom Haylock,212357552,47786860,Back,Back #2 ZOU TIGER,1,Zou Tiger,0,7.8,-1,-1,0.147058824
8/04/2023,Randwick,Linton Chataway,212357556,54368253,Back,Back WIN #3 Autumn Ballet,2,Autumn Ballet,0,3.7,-1,-1,0.37037037
8/04/2023,Randwick,Linton Chataway,212357556,54368254,Back,Back WIN #6 Kimochi,1,Kimochi,0,3.92758419,-1,-1,0.341578563
8/04/2023,Randwick,Nat Hinkley,212357556,54368253,Lay,Lay WIN #3 Autumn Balle,2,Autumn Ballet,0,3.7,0.37037037,-1,0.37037037
8/04/2023,Randwick,Tom Haylock,212357556,54368253,Back,Back #3 AUTUMN BALLET,2,Autumn Ballet,0,3.7,-1,-1,0.37037037
8/04/2023,Randwick,Tom Haylock,212357556,53409019,Back,Back #4 ETHEREAL STAR,1,Ethereal Star,0,12,-1,-1,0.090909091
7/04/2023,Gloucester Park,Scott Hill,212399484,43555787,Back,Back WIN #4 SV,1,Sweet Vivienne,1,4.78901125,3.78901125,3.78901125,-1
7/04/2023,Gloucester Park,Scott Hill,212399490,36528534,Back,Back WIN #4 ML,1,Machs Legacy,0,3.18355839,-1,-1,0.45796806
7/04/2023,Gloucester Park,Scott Hill,212399493,31736513,Back,Back WIN #7 El Daytona,1,Eldaytona,0,2.7,-1,-1,0.588235294
7/04/2023,Gloucester Park,Scott Hill,212399499,48856299,Back,Back WIN #8 Street Hawk,2,Street Hawk,0,3.95,-1,-1,0.338983051
7/04/2023,Gloucester Park,Scott Hill,212399502,47252938,Back,Back WIN #6 Roll Up,1,Roll Up,0,5.15193217,-1,-1,0.240851719
7/04/2023,Gloucester Park,Scott Hill,212399505,4497663,Lay,Lay WIN #2 Rascal,2,Rascal,0,3.19191761,0.456221527,-1,0.456221527
7/04/2023,Gloucester Park,Scott Hill,212399505,27788436,Back,Back WIN #1 Stormskyes,1,Stormyskyes,0,3.72458155,-1,-1,0.367028838
8/04/2023,Doomben,Steve Walters,212403106,50712764,Lay,Lay WIN #5 Ringer's Rew,2,Ringers Reward,1,2.15330375,-1,1.15330375,-1
8/04/2023,Doomben,Shane Ciurleo,212403130,41286362,Lay,Lay WIN #2 Birriecart,1,Birriecart,1,5.40149009,-1,4.40149009,-1
8/04/2023,Doomben,Shane Ciurleo,212403138,54403316,Lay,Lay WIN #15 Without Rev,1,Without Revenge,0,9.57143094,0.116666634,-1,0.116666634
8/04/2023,Randwick,Tom Haylock,212403741,54404307,Back,Back #4 ZAPATEO,1,Zapateo,1,2.5,1.5,1.5,-1
8/04/2023,Randwick,Tom Haylock,212403741,37830745,Back,Back #3 EXPAT,1,Expat,0,11.40930724,-1,-1,0.096067872
8/04/2023,Randwick,Tom Haylock,212403741,54404306,Back,Back #1 PRINCESS GRACE,1,Princess Grace,0,11.64550756,-1,-1,0.093936338
8/04/2023,Sandown,Jackson Oldham,212404786,40100072,Back,Back WIN #8 Party For One,2,Party For One,0,3.17279391,-1,-1,0.460236931
8/04/2023,Sandown,Jonathan Walsh,212404787,42154149,Lay,Lay PLACE #6 Foxicon,2,Foxicon,1,1.69,-1,0.69,-1
8/04/2023,Sandown,Jackson Oldham,212404804,54404321,Lay,Lay WIN #1 I Am Unstoppable,2,I Am Unstoppable,1,3.80992392,-1,2.80992392,-1
8/04/2023,Sandown,Jackson Oldham,212404822,41223126,Back,Back EW Hello Broadcast,1,Hello Broadcast,0,14.32038807,-1,-1,0.075072888
8/04/2023,Sandown,Jackson Oldham,212404823,41223126,Back,Back EW Hello Broadcast,1,Hello Broadcast,0,3.8286319,-1,-1,0.353527796
8/04/2023,Sandown,Jackson Oldham,212404840,54404347,Back,Back WIN Cardinal Gem,1,Cardinal Gem,1,3.14723911,2.14723911,2.14723911,-1
8/04/2023,Sandown,Jackson Oldham,212404840,39969421,Back,Back EW Frankie Pinot,1,Frankie Pinot,0,19.96041483,-1,-1,0.052741462
8/04/2023,Sandown,Tom Haylock,212404840,47841940,Back,Back #5 LADY OF HONOUR,1,Lady Of Honour,0,14.72522711,-1,-1,0.072858539
8/04/2023,Sandown,Tom Haylock,212404840,39969421,Back,Back #4 FRANKIE PINOT,1,Frankie Pinot,0,19.96041483,-1,-1,0.052741462
8/04/2023,Sandown,Jackson Oldham,212404841,39969421,Back,Back EW Frankie Pinot,1,Frankie Pinot,1,4.04488241,3.04488241,3.04488241,-1
