Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Lachlan Mosley,2/11/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,3,5,BACK,WIN,,5. Hassletoff,1,,235297654,37995554,7,1,4.37,3.13,0,0
Lachlan Mosley,2/11/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,3,5,BACK,PLACE,,5. Hassletoff,1,,235297655,37995554,7,1,1.76,0.71,0,0
Lachlan Mosley,2/11/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,6,11,BACK,WIN,,11. Sharendipity,2,,235297681,63859101,7,0,3.84,-2,0,0
Lachlan Mosley,2/11/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,9,13,BACK,WIN,,13. Aztec Dancer ,1,,235297708,73991429,7,0,16.18,-1,0,0
Lachlan Mosley,2/11/2024,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,9,13,BACK,PLACE,,13. Aztec Dancer ,1,,235297709,73991429,7,0,4.7,-1,0,0
Joshua Ingram,2/11/2024,Newcastle,EXPERT TIPS,FALSE,Thoroughbred,1,2,BACK,WIN,,2. Private Harry,3,BEST BET,235339934,75758060,10,1,1.61,1.65,0,1.65
Joshua Ingram,2/11/2024,Newcastle,EXPERT TIPS,FALSE,Thoroughbred,3,9,BACK,WIN,,9. Aroha Stone,1,,235339944,75355130,10,0,6.88,-1,0,0
Joshua Ingram,2/11/2024,Newcastle,EXPERT TIPS,FALSE,Thoroughbred,3,9,BACK,PLACE,,9. Aroha Stone,1,,235339945,75355130,10,0,2.16,-1,0,0
Joshua Ingram,2/11/2024,Newcastle,EXPERT TIPS,FALSE,Thoroughbred,4,4,LAY,WIN,,4. Aces In Bloom,1,,235339949,75758082,10,0,2.78,0.51,0,0
Joshua Ingram,2/11/2024,Newcastle,EXPERT TIPS,FALSE,Thoroughbred,7,2,BACK,WIN,,2. Dreamdeel,2,,235339964,48843784,10,1,4.54,6.37,0,0
Scott Hill,2/11/2024,Northam,EXPERT TIPS,FALSE,Harness,1,4,BACK,WIN,1.8,4. The First Cut,3,BEST BET,235383756,75720379,7,0,2.32,-3,-3,-3
Scott Hill,2/11/2024,Northam,EXPERT TIPS,FALSE,Harness,2,8,BACK,WIN,2.5,8. Ripper View,2,,235383758,70180937,7,0,15.19,-2,-2,0
Scott Hill,2/11/2024,Northam,EXPERT TIPS,FALSE,Harness,5,4,BACK,WIN,4,4. Rocknroll Sloy,1,,235383764,72892161,7,0,11,-1,-1,0
Scott Hill,2/11/2024,Northam,EXPERT TIPS,FALSE,Harness,6,6,BACK,WIN,6,6. Barbados,1,,235383766,1469694,7,0,18.6,-1,-1,0
Scott Hill,2/11/2024,Northam,EXPERT TIPS,FALSE,Harness,8,3,LAY,WIN,3,3. Christophano,2,,235383770,74561140,7,0,8.88,0.24,0,0
Mitch Lewis,2/11/2024,Rosehill,EXPERT TIPS,FALSE,Thoroughbred,3,5,BACK,WIN,3,5. Ambassadorial,2,BEST BET,235292088,74572075,10,0,4,-2,-2,-2
Mitch Lewis,2/11/2024,Rosehill,EXPERT TIPS,FALSE,Thoroughbred,6,3,BACK,WIN,5,3. Tristate,1,,235292115,49807377,10,1,7.65,5.99,5.99,0
Mitch Lewis,2/11/2024,Rosehill,EXPERT TIPS,FALSE,Thoroughbred,8,19,BACK,WIN,3.5,19. Ascoli Piceno,2,,235225607,75673618,10,0,3.4,-2,0,0
Mitch Lewis,2/11/2024,Rosehill,EXPERT TIPS,FALSE,Thoroughbred,9,2,BACK,WIN,6.5,2. Nonconformist,1,,235292142,27933753,10,0,8.66,-1,-1,0
Mitch Lewis,2/11/2024,Rosehill,EXPERT TIPS,FALSE,Thoroughbred,9,2,BACK,PLACE,6.5,2. Nonconformist,1,,235292143,27933753,10,0,3.13,-1,0,0
Mitch Lewis,2/11/2024,Rosehill,EXPERT TIPS,FALSE,Thoroughbred,10,1,LAY,WIN,8.5,1. Battleton,1,BEST BET,235292151,56606377,10,1,7.2,-1,-1,-1
Joe Lannutti,2/11/2024,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,1,1,BACK,WIN,1.8,1. Cunningham,3,BEST BET,235394046,75673836,7,1,1.68,1.9,0,1.9
Joe Lannutti,2/11/2024,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,7,1,LAY,WIN,6,1. Peacock,2,BEST BET,235394076,6709402,7,0,5.64,0.4,0.4,0.4
Joe Lannutti,2/11/2024,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,8,6,BACK,WIN,1.8,6. Power And Glory,3,BEST BET,235394081,75673849,7,1,1.52,1.45,0,1.45
Joe Lannutti,2/11/2024,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,9,4,LAY,WIN,2.5,4. Zipping Chaplin,1,,235394086,67821780,7,1,2.68,-1,0,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,4,3,BACK,WIN,8,Pleasant,1,,235252360,889504,5,0,13.16,-1,-1,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,5,11,BACK,WIN,7,Big Evs,1,,235252363,56460594,5,0,11.62,-1,-1,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,5,6,BACK,WIN,8,Star Of Mystery,1,,235252363,56653662,5,0,9.24,-1,-1,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,7,11,BACK,WIN,2.7,Rebels Romance,5,BEST BET,235252369,36545291,5,1,3.33,11.07,11.07,11.07
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,8,1,BACK,WIN,4,Forever Young,3,,235252372,12320763,5,0,6.18,-3,-3,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,8,7,BACK,WIN,9,Ushba Tesoro,1,,235252372,48572560,5,0,82.49,-1,-1,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,9,3,BACK,WIN,1.8,Cinderellas Dream,5,BEST BET,235252375,56496785,5,0,4,-5,-5,-5
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,11,6,BACK,WIN,2.5,Notable Speech,4,,235252381,65310817,5,0,2.96,-4,-4,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,12,10,BACK,WIN,4.5,Muth,3,,235252384,57235269,5,0,6.87,-3,-3,0
Rory Flanagan,3/11/2024,Del Mar,EXPERT TIPS,TRUE,Thoroughbred,12,3,BACK,WIN,9,Full Serrano,1,,235252384,45351672,5,1,18.77,16.88,16.88,0
Chris Camilleri,3/11/2024,Mornington,EXPERT TIPS,FALSE,Thoroughbred,1,5,BACK,WIN,2.5,5. Tophet ,2,,235395350,75758914,7,0,4.85,-2,-2,0
Chris Camilleri,3/11/2024,Mornington,EXPERT TIPS,FALSE,Thoroughbred,3,6,BACK,WIN,2.6,6. I Am Piki ,2,,235395366,75758928,7,1,3.35,4.37,4.37,0
Chris Camilleri,3/11/2024,Mornington,EXPERT TIPS,FALSE,Thoroughbred,7,6,LAY,WIN,4,6. Piacentia Bay,1,BEST BET,235395398,6040796,7,0,2.52,0.61,0.61,0.61
Glenn Ingram,3/11/2024,Mornington,LATE MAIL,FALSE,Thoroughbred,7,6,BACK,WIN,3,6. Placentia Bay,2,BEST BET,235395398,6040796,7,0,2.52,-2,0,-2
Chris Camilleri,3/11/2024,Mornington,EXPERT TIPS,FALSE,Thoroughbred,8,1,BACK,WIN,2.6,1. Coin Toss,2,BEST BET,235395406,6774475,7,0,3.32,-2,-2,-2
Joshua Ingram,3/11/2024,Muswellbrook,EXPERT TIPS,FALSE,Thoroughbred,3,8,BACK,WIN,,8. Russley Tiara,1,,235393365,75757977,10,0,6.5,-1,0,0
Joshua Ingram,3/11/2024,Muswellbrook,EXPERT TIPS,FALSE,Thoroughbred,3,8,BACK,PLACE,,8. Russley Tiara,1,,235393366,75757977,10,0,2.09,-1,0,0
Joshua Ingram,3/11/2024,Muswellbrook,EXPERT TIPS,FALSE,Thoroughbred,4,2,BACK,WIN,,2. Prima Bella,3,BEST BET,235393370,62660932,10,0,2.3,-3,0,-3
Lachlan Mosley,3/11/2024,Naracoorte,EXPERT TIPS,FALSE,Thoroughbred,2,11,BACK,WIN,,11. Madame Jeanette,3,BEST BET,235396312,71837265,7,1,2.53,4.27,0,4.27
Lachlan Mosley,3/11/2024,Naracoorte,EXPERT TIPS,FALSE,Thoroughbred,5,2,BACK,WIN,,2. The Grey King,2,,235396330,64205941,7,0,4.37,-2,0,0
