Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2024-01-01,Ascot,R7 1000m Listed,7,223004302,64343986,9,Songaa,32.73,0.0,33.17,0.0,8.18,0.00040528562458337983
2024-01-01,Ascot,R7 1000m Listed,7,223004302,64343987,10,Wild Belle,4.79,0.0,4.14,0.0,1.81,-0.03277762649642474
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,15313841,3,Bad Wolf,194.92,0.0,292.39,0.0,42.0,0.001710220264368505
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,3944341,6,Blazing Away,71.48,0.0,44.0,0.0,9.46,-0.00873734547489444
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,41035520,5,Black Fantasy,15.79,0.0,19.5,0.0,5.11,0.01204917101053897
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,43527586,1,Numerian,4.67,0.0,9.16,0.0,2.86,0.10496245663577794
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,44509155,4,Be Optimistic,12.07,0.0,11.22,1.0,3.55,-0.006276518289774297
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,49740879,12,Neufbosc,43.08,0.0,42.0,0.0,10.71,-0.000596896140071624
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,50141168,2,Zoumon,13.04,0.0,10.0,0.0,3.21,-0.023312883435582826
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,51752670,9,Diamond Scene,35.83,0.0,21.91,0.0,5.6,-0.017731686715234334
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,63553007,7,Casino Seventeen,3.28,1.0,3.03,1.0,1.58,-0.025154954519842232
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,64292685,8,Demolish,43.08,0.0,37.44,1.0,7.01,-0.0034967740399495274
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,64292686,10,Holy Enchantment,36.89,0.0,28.0,0.0,5.97,-0.008606668473841148
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,64292687,11,Letsdeal,64.02,0.0,60.97,0.0,13.68,-0.000781390225920154
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,64292688,13,Playhouse Patron,195.34,0.0,178.16,0.0,21.06,-0.0004936529902912082
