EVENT_DATE,EVENT_ID,MATCH,MARKET_TYPE,MARKET_NAME,MARKET_ID
6/08/2022,31531623,Bournemouth v Aston Villa,,Both teams to Score?,201698831
6/08/2022,31531623,Bournemouth v Aston Villa,,Over/Under 2.5 Goals,201698840
6/08/2022,31531596,Everton v Chelsea,,Chelsea Win to Nil,200235569
6/08/2022,31531596,Everton v Chelsea,,Half Time Score,201698878
6/08/2022,31531596,Everton v Chelsea,,Over/Under 1.5 Goals,200235501
6/08/2022,31531596,Everton v Chelsea,,Chelsea Over/Under 0.5 Goals,200235629
6/08/2022,31531596,Everton v Chelsea,,Over/Under 2.5 Goals,201698876
6/08/2022,31531596,Everton v Chelsea,,First Half Goals 1.5,200235581
6/08/2022,31531596,Everton v Chelsea,,Match Odds,200235499
6/08/2022,31531596,Everton v Chelsea,,Over/Under 4.5 Goals,200235500
6/08/2022,31531596,Everton v Chelsea,,Match Odds and Over/Under 2.5 goals,200235587
6/08/2022,31531596,Everton v Chelsea,,Chelsea +1,200235563
6/08/2022,31531596,Everton v Chelsea,,Over/Under 4.5 Goals,201698877
6/08/2022,31531596,Everton v Chelsea,,Half Time,200235498
6/08/2022,31531596,Everton v Chelsea,,Half Time/Full Time,201698883
6/08/2022,31531596,Everton v Chelsea,,Chelsea Over/Under 1.5 Goals,200235626
6/08/2022,31531596,Everton v Chelsea,,Half Time Score,200235513
6/08/2022,31531596,Everton v Chelsea,,Both teams to Score?,200235573
6/08/2022,31531596,Everton v Chelsea,,Correct Score,200235505
6/08/2022,31531596,Everton v Chelsea,,Match Odds and Over/Under 3.5 Goals,200235624
6/08/2022,31531596,Everton v Chelsea,,Over/Under 3.5 Goals,200235526
6/08/2022,31531596,Everton v Chelsea,,Correct Score,200235585
6/08/2022,31531596,Everton v Chelsea,,Half Time,200235583
6/08/2022,31531596,Everton v Chelsea,,Everton +1,200235578
6/08/2022,31531596,Everton v Chelsea,,Over/Under 1.5 Goals,201698879
6/08/2022,31531596,Everton v Chelsea,,Everton Over/Under 2.5 Goals,200235623
6/08/2022,31531596,Everton v Chelsea,,Over/Under 5.5 Goals,200235584
6/08/2022,31531596,Everton v Chelsea,,Everton Win to Nil,200235568
6/08/2022,31531596,Everton v Chelsea,,Over/Under 4.5 Goals,200235512
6/08/2022,31531596,Everton v Chelsea,,Chelsea +3,200235567
6/08/2022,31531596,Everton v Chelsea,,Over/Under 5.5 Goals,200235503
6/08/2022,31531596,Everton v Chelsea,,Over/Under 3.5 Goals,201698880
6/08/2022,31531596,Everton v Chelsea,,Everton Over/Under 1.5 Goals,200235625
6/08/2022,31531596,Everton v Chelsea,,First Half Goals 1.5,201698871
6/08/2022,31531596,Everton v Chelsea,,Over/Under 2.5 Goals,200235511
6/08/2022,31531596,Everton v Chelsea,,Match Odds,201698868
6/08/2022,31531596,Everton v Chelsea,,Over/Under 0.5 Goals,200235497
6/08/2022,31531596,Everton v Chelsea,,Everton +2,200235562
6/08/2022,31531596,Everton v Chelsea,,Chelsea +2,200235566
6/08/2022,31531596,Everton v Chelsea,,Match Odds and Both Teams to Score,200235508
6/08/2022,31531596,Everton v Chelsea,,Correct Score,201698875
6/08/2022,31531596,Everton v Chelsea,,First Half Goals 2.5,201698866
6/08/2022,31531596,Everton v Chelsea,,Everton Over/Under 0.5 Goals,200235628
6/08/2022,31531596,Everton v Chelsea,,Everton +3,200235565
6/08/2022,31531596,Everton v Chelsea,,Both teams to Score?,201698867
6/08/2022,31531596,Everton v Chelsea,,Half Time Score,200235507
6/08/2022,31531596,Everton v Chelsea,,Draw No Bet,200235561
6/08/2022,31531596,Everton v Chelsea,,Match Odds,200235575
6/08/2022,31531596,Everton v Chelsea,,Over/Under 0.5 Goals,200235580
6/08/2022,31531596,Everton v Chelsea,,First Half Goals 0.5,201698869
6/08/2022,31531596,Everton v Chelsea,,First Half Goals 2.5,200235572
6/08/2022,31531596,Everton v Chelsea,,Over/Under 3.5 Goals,200235506
6/08/2022,31531596,Everton v Chelsea,,Double Chance,200235577
6/08/2022,31531596,Everton v Chelsea,,Over/Under 1.5 Goals,200235515
6/08/2022,31531596,Everton v Chelsea,,Half Time/Full Time,200235514
6/08/2022,31531596,Everton v Chelsea,,Over/Under 0.5 Goals,201698870
6/08/2022,31531596,Everton v Chelsea,,Half Time,201698873
6/08/2022,31531596,Everton v Chelsea,,Chelsea Over/Under 2.5 Goals,200235627
6/08/2022,31531596,Everton v Chelsea,,Over/Under 2.5 Goals,200235502
6/08/2022,31531596,Everton v Chelsea,,Over/Under 5.5 Goals,201698874
6/08/2022,31531596,Everton v Chelsea,,First Half Goals 0.5,200235579
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 2.5 Goals,201698822
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 0.5 Goals,200234636
6/08/2022,31531630,Fulham v Liverpool,,First Half Goals 1.5,201698817
6/08/2022,31531630,Fulham v Liverpool,,Half Time,200234637
6/08/2022,31531630,Fulham v Liverpool,,Half Time/Full Time,201698829
