Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Jamie Young,Jamie Young,ENG,35-264,90,6,1,5,83.3,Adelaide United,Brisbane Roar,16/05/2021,Brisbane Roar
James Delianov,James Delianov,AUS,21-208,90,0,0,1,,Adelaide United,Brisbane Roar,16/05/2021,Adelaide United
Oliver Sail,Oliver Sail,NZL,25-123,90,5,2,3,60,Melbourne City,Wellington Phoenix,16/05/2021,Wellington Phoenix
Tom Glover,Tom Glover,AUS,23-143,90,6,2,5,83.3,Melbourne City,Wellington Phoenix,16/05/2021,Melbourne City
Daniel Margush,Daniel Margush,AUS,23-169,90,4,5,0,0,Perth Glory,Western Sydney Wanderers,16/05/2021,Western Sydney Wanderers
Liam Reddy,Liam Reddy,AUS,39-281,90,6,1,5,83.3,Perth Glory,Western Sydney Wanderers,16/05/2021,Perth Glory
James Delianov,James Delianov,AUS,21-211,90,2,2,0,0,Perth Glory,Adelaide United,19/05/2021,Adelaide United
Liam Reddy,Liam Reddy,AUS,39-284,90,3,1,2,66.7,Perth Glory,Adelaide United,19/05/2021,Perth Glory
Matt Acton,Matt Acton,AUS,28-350,90,4,2,2,50,Sydney FC,Melbourne Victory,19/05/2021,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,32-126,90,3,0,3,100,Sydney FC,Melbourne Victory,19/05/2021,Sydney FC
Jamie Young,Jamie Young,ENG,35-269,90,2,1,1,50,Newcastle Jets,Brisbane Roar,21/05/2021,Brisbane Roar
Jack Duncan,Jack Duncan,AUS,28-032,90,5,2,3,60,Newcastle Jets,Brisbane Roar,21/05/2021,Newcastle Jets
Mark Birighitti,Mark Birighitti,AUS,30-035,90,1,1,0,0,Melbourne City,Central Coast Mariners,22/05/2021,Central Coast Mariners
Tom Glover,Tom Glover,AUS,23-149,90,1,0,1,100,Melbourne City,Central Coast Mariners,22/05/2021,Melbourne City
Ryan Scott,Ryan Scott,AUS,25-155,90,10,3,7,70,Wellington Phoenix,Western United,22/05/2021,Western United
Oliver Sail,Oliver Sail,NZL,25-129,90,5,0,5,100,Wellington Phoenix,Western United,22/05/2021,Wellington Phoenix
James Delianov,James Delianov,AUS,21-215,90,0,0,0,,Melbourne Victory,Adelaide United,23/05/2021,Adelaide United
Matt Acton,Matt Acton,AUS,28-354,90,4,1,3,75,Melbourne Victory,Adelaide United,23/05/2021,Melbourne Victory
Adam Federici,Adam Federici,AUS,36-112,90,2,1,2,100,Perth Glory,Macarthur FC,23/05/2021,Macarthur FC
Liam Reddy,Liam Reddy,AUS,39-288,90,6,1,5,83.3,Perth Glory,Macarthur FC,23/05/2021,Perth Glory
Daniel Margush,Daniel Margush,AUS,23-176,90,7,1,6,85.7,Sydney FC,Western Sydney Wanderers,23/05/2021,Western Sydney Wanderers
Andrew Redmayne,Andrew Redmayne,AUS,32-130,90,3,0,3,100,Sydney FC,Western Sydney Wanderers,23/05/2021,Sydney FC
Matthew Sutton,Matthew Sutton,AUS,21-079,90,3,3,2,66.7,Brisbane Roar,Melbourne City,25/05/2021,Melbourne City
Jamie Young,Jamie Young,ENG,35-273,90,6,0,6,100,Brisbane Roar,Melbourne City,25/05/2021,Brisbane Roar
Oliver Sail,Oliver Sail,NZL,25-133,90,6,1,5,83.3,Western Sydney Wanderers,Wellington Phoenix,26/05/2021,Wellington Phoenix
Daniel Margush,Daniel Margush,AUS,23-179,90,4,2,2,50,Western Sydney Wanderers,Wellington Phoenix,26/05/2021,Western Sydney Wanderers
Mark Birighitti,Mark Birighitti,AUS,30-040,90,4,1,3,75,Macarthur FC,Central Coast Mariners,27/05/2021,Central Coast Mariners
Adam Federici,Adam Federici,AUS,36-116,90,6,2,4,66.7,Macarthur FC,Central Coast Mariners,27/05/2021,Macarthur FC
Matt Acton,Matt Acton,AUS,28-359,90,5,1,5,100,Western United,Melbourne Victory,28/05/2021,Melbourne Victory
Ryan Scott,Ryan Scott,AUS,25-161,90,10,6,4,40,Western United,Melbourne Victory,28/05/2021,Western United
Andrew Redmayne,Andrew Redmayne,AUS,32-136,90,3,1,2,66.7,Adelaide United,Sydney FC,29/05/2021,Sydney FC
James Delianov,James Delianov,AUS,21-221,90,7,4,3,42.9,Adelaide United,Sydney FC,29/05/2021,Adelaide United
Liam Reddy,Liam Reddy,AUS,39-295,90,3,2,2,33.3,Wellington Phoenix,Perth Glory,30/05/2021,Perth Glory
Oliver Sail,Oliver Sail,NZL,25-137,90,3,2,1,33.3,Wellington Phoenix,Perth Glory,30/05/2021,Wellington Phoenix
Jamie Young,Jamie Young,ENG,35-278,90,6,2,4,66.7,Western Sydney Wanderers,Brisbane Roar,30/05/2021,Brisbane Roar
Daniel Margush,Daniel Margush,AUS,23-183,90,6,0,6,100,Western Sydney Wanderers,Brisbane Roar,30/05/2021,Western Sydney Wanderers
Adam Federici,Adam Federici,AUS,36-120,90,4,1,3,75,Western United,Macarthur FC,31/05/2021,Macarthur FC
Ryan Scott,Ryan Scott,AUS,25-164,90,5,2,3,60,Western United,Macarthur FC,31/05/2021,Western United
Jack Duncan,Jack Duncan,AUS,28-043,90,2,0,2,100,Central Coast Mariners,Newcastle Jets,1/06/2021,Newcastle Jets
Mark Birighitti,Mark Birighitti,AUS,30-045,90,4,2,2,50,Central Coast Mariners,Newcastle Jets,1/06/2021,Central Coast Mariners
Liam Reddy,Liam Reddy,AUS,39-298,90,6,2,4,66.7,Brisbane Roar,Perth Glory,2/06/2021,Perth Glory
Jamie Young,Jamie Young,ENG,35-281,90,3,1,2,66.7,Brisbane Roar,Perth Glory,2/06/2021,Brisbane Roar
Daniel Margush,Daniel Margush,AUS,23-187,90,7,2,5,71.4,Adelaide United,Western Sydney Wanderers,3/06/2021,Western Sydney Wanderers
James Delianov,James Delianov,AUS,21-226,90,3,2,1,33.3,Adelaide United,Western Sydney Wanderers,3/06/2021,Adelaide United
Oliver Sail,Oliver Sail,NZL,25-142,90,3,0,3,100,Macarthur FC,Wellington Phoenix,4/06/2021,Wellington Phoenix
Adam Federici,Adam Federici,AUS,36-124,90,9,3,7,66.7,Macarthur FC,Wellington Phoenix,4/06/2021,Macarthur FC
Tom Heward-Belle,Tom Heward-Belle,AUS,24-086,90,6,0,6,100,Brisbane Roar,Sydney FC,5/06/2021,Sydney FC
Jamie Young,Jamie Young,ENG,35-284,90,4,2,2,50,Brisbane Roar,Sydney FC,5/06/2021,Brisbane Roar
Ryan Scott,Ryan Scott,AUS,25-169,90,7,2,5,71.4,Central Coast Mariners,Western United,5/06/2021,Western United
Mark Birighitti,Mark Birighitti,AUS,30-049,90,4,0,4,100,Central Coast Mariners,Western United,5/06/2021,Central Coast Mariners
Tando Velaphi,Tando Velaphi,AUS,34-049,90,5,1,4,80,Newcastle Jets,Perth Glory,5/06/2021,Perth Glory
Jack Duncan,Jack Duncan,AUS,28-047,90,2,1,1,50,Newcastle Jets,Perth Glory,5/06/2021,Newcastle Jets
Tom Glover,Tom Glover,AUS,23-164,90,5,1,4,80,Melbourne Victory,Melbourne City,6/06/2021,Melbourne City
Matt Acton,Matt Acton,AUS,29-003,90,5,1,4,80,Melbourne Victory,Melbourne City,6/06/2021,Melbourne Victory
Jack Duncan,Jack Duncan,AUS,28-052,90,7,1,6,85.7,Melbourne City,Newcastle Jets,10/06/2021,Newcastle Jets
Tom Glover,Tom Glover,AUS,23-168,90,3,2,1,33.3,Melbourne City,Newcastle Jets,10/06/2021,Melbourne City
Adam Federici,Adam Federici,AUS,36-132,120,1,0,1,100,Central Coast Mariners,Macarthur FC,12/06/2021,Macarthur FC
Mark Birighitti,Mark Birighitti,AUS,30-056,120,3,2,1,33.3,Central Coast Mariners,Macarthur FC,12/06/2021,Central Coast Mariners
James Delianov,James Delianov,AUS,21-236,90,7,1,6,85.7,Brisbane Roar,Adelaide United,13/06/2021,Adelaide United
Jamie Young,Jamie Young,ENG,35-292,90,3,2,1,33.3,Brisbane Roar,Adelaide United,13/06/2021,Brisbane Roar
James Delianov,James Delianov,AUS,21-242,90,2,2,2,50,Sydney FC,Adelaide United,19/06/2021,Adelaide United
Tom Heward-Belle,Tom Heward-Belle,AUS,24-100,90,5,1,4,80,Sydney FC,Adelaide United,19/06/2021,Sydney FC
Adam Federici,Adam Federici,AUS,36-140,90,4,2,2,50,Melbourne City,Macarthur FC,20/06/2021,Macarthur FC
Tom Glover,Tom Glover,AUS,23-178,90,1,0,1,100,Melbourne City,Macarthur FC,20/06/2021,Melbourne City
Tom Heward-Belle,Tom Heward-Belle,AUS,24-108,90,7,3,5,71.4,Melbourne City,Sydney FC,27/06/2021,Sydney FC
Tom Glover,Tom Glover,AUS,23-185,90,1,1,0,0,Melbourne City,Sydney FC,27/06/2021,Melbourne City
Macklin Freke,Macklin Freke,AUS,22-317,90,7,2,5,71.4,Melbourne City,Brisbane Roar,19/11/2021,Brisbane Roar
Tom Glover,Tom Glover,AUS,23-330,90,4,1,3,75,Melbourne City,Brisbane Roar,19/11/2021,Melbourne City
James Delianov,James Delianov,AUS,22-031,90,4,1,3,75,Perth Glory,Adelaide United,20/11/2021,Adelaide United
Brad Jones,Brad Jones,AUS,39-246,90,4,1,3,75,Perth Glory,Adelaide United,20/11/2021,Perth Glory
Andrew Redmayne,Andrew Redmayne,AUS,32-311,90,3,0,3,100,Western Sydney Wanderers,Sydney FC,20/11/2021,Sydney FC
Tomás Mejías,Tomas Mejias,ESP,32-294,90,3,0,3,100,Western Sydney Wanderers,Sydney FC,20/11/2021,Western Sydney Wanderers
Ivan Kelava,Ivan Kelava,CRO,33-273,90,3,0,3,100,Western United,Melbourne Victory,20/11/2021,Melbourne Victory
Jamie Young,Jamie Young,ENG,36-087,90,4,1,3,75,Western United,Melbourne Victory,20/11/2021,Western United
Oliver Sail,Oliver Sail,NZL,25-312,90,3,1,2,66.7,Macarthur FC,Wellington Phoenix,21/11/2021,Wellington Phoenix
Filip Kurto,Filip Kurto,POL,30-160,90,4,1,4,100,Macarthur FC,Wellington Phoenix,21/11/2021,Macarthur FC
Mark Birighitti,Mark Birighitti,AUS,30-218,90,5,1,4,80,Newcastle Jets,Central Coast Mariners,21/11/2021,Central Coast Mariners
Jack Duncan,Jack Duncan,AUS,28-216,90,5,2,3,60,Newcastle Jets,Central Coast Mariners,21/11/2021,Newcastle Jets
Brad Jones,Brad Jones,AUS,39-252,90,7,1,6,85.7,Western United,Perth Glory,26/11/2021,Perth Glory
Jamie Young,Jamie Young,ENG,36-093,90,3,0,3,100,Western United,Perth Glory,26/11/2021,Western United
Tom Glover,Tom Glover,AUS,23-338,90,5,2,3,60,Adelaide United,Melbourne City,27/11/2021,Melbourne City
James Delianov,James Delianov,AUS,22-038,90,5,2,3,60,Adelaide United,Melbourne City,27/11/2021,Adelaide United
Filip Kurto,Filip Kurto,POL,30-166,90,3,0,3,100,Sydney FC,Macarthur FC,27/11/2021,Macarthur FC
Andrew Redmayne,Andrew Redmayne,AUS,32-318,90,4,1,3,75,Sydney FC,Macarthur FC,27/11/2021,Sydney FC
Mark Birighitti,Mark Birighitti,AUS,30-224,90,5,2,4,60,Wellington Phoenix,Central Coast Mariners,27/11/2021,Central Coast Mariners
Oliver Sail,Oliver Sail,NZL,25-318,90,6,1,5,83.3,Wellington Phoenix,Central Coast Mariners,27/11/2021,Wellington Phoenix
Macklin Freke,Macklin Freke,AUS,22-326,90,5,3,2,40,Melbourne Victory,Brisbane Roar,28/11/2021,Brisbane Roar
Ivan Kelava,Ivan Kelava,CRO,33-281,90,6,0,6,100,Melbourne Victory,Brisbane Roar,28/11/2021,Melbourne Victory
Jack Duncan,Jack Duncan,AUS,28-223,90,6,2,4,66.7,Western Sydney Wanderers,Newcastle Jets,28/11/2021,Newcastle Jets
Tomás Mejías,Tomas Mejias,ESP,32-302,90,4,2,3,75,Western Sydney Wanderers,Newcastle Jets,28/11/2021,Western Sydney Wanderers
Tomás Mejías,Tomas Mejias,ESP,32-307,90,3,0,3,100,Wellington Phoenix,Western Sydney Wanderers,3/12/2021,Western Sydney Wanderers
Oliver Sail,Oliver Sail,NZL,25-324,90,5,2,3,60,Wellington Phoenix,Western Sydney Wanderers,3/12/2021,Wellington Phoenix
James Delianov,James Delianov,AUS,22-045,90,6,0,6,100,Brisbane Roar,Adelaide United,4/12/2021,Adelaide United
Macklin Freke,Macklin Freke,AUS,22-332,90,1,0,1,100,Brisbane Roar,Adelaide United,4/12/2021,Brisbane Roar
Jamie Young,Jamie Young,ENG,36-101,90,5,0,5,100,Melbourne City,Western United,4/12/2021,Western United
Tom Glover,Tom Glover,AUS,23-345,90,1,1,0,0,Melbourne City,Western United,4/12/2021,Melbourne City
Jack Duncan,Jack Duncan,AUS,28-229,90,3,2,2,66.7,Sydney FC,Newcastle Jets,4/12/2021,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,32-325,90,3,2,1,33.3,Sydney FC,Newcastle Jets,4/12/2021,Sydney FC
Yaren Sözer,Yaren Soezer,AUS,24-230,22,0,0,0,,Macarthur FC,Central Coast Mariners,5/12/2021,Central Coast Mariners
Lawrence Caruso,Lawrence Caruso,AUS,17-081,68,6,1,5,83.3,Macarthur FC,Central Coast Mariners,5/12/2021,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,30-174,90,8,0,8,100,Macarthur FC,Central Coast Mariners,5/12/2021,Macarthur FC
Cameron Cook,Cameron Cook,AUS,20-111,90,3,0,3,100,Melbourne Victory,Perth Glory,5/12/2021,Perth Glory
Ivan Kelava,Ivan Kelava,CRO,33-288,90,6,3,3,50,Melbourne Victory,Perth Glory,5/12/2021,Melbourne Victory
Cameron Cook,Cameron Cook,AUS,20-114,90,7,1,6,85.7,Melbourne City,Perth Glory,8/12/2021,Perth Glory
Tom Glover,Tom Glover,AUS,23-349,90,2,0,2,100,Melbourne City,Perth Glory,8/12/2021,Melbourne City
Oliver Sail,Oliver Sail,NZL,25-331,90,9,4,5,55.6,Newcastle Jets,Wellington Phoenix,10/12/2021,Wellington Phoenix
Jack Duncan,Jack Duncan,AUS,28-235,90,4,0,4,100,Newcastle Jets,Wellington Phoenix,10/12/2021,Newcastle Jets
Ivan Kelava,Ivan Kelava,CRO,33-294,90,8,1,7,87.5,Adelaide United,Melbourne Victory,11/12/2021,Melbourne Victory
James Delianov,James Delianov,AUS,22-052,90,6,2,4,66.7,Adelaide United,Melbourne Victory,11/12/2021,Adelaide United
Filip Kurto,Filip Kurto,POL,30-180,90,3,0,3,100,Western Sydney Wanderers,Macarthur FC,11/12/2021,Macarthur FC
Tomás Mejías,Tomas Mejias,ESP,32-315,90,5,2,3,60,Western Sydney Wanderers,Macarthur FC,11/12/2021,Western Sydney Wanderers
Macklin Freke,Macklin Freke,AUS,22-339,90,6,1,5,83.3,Western United,Brisbane Roar,11/12/2021,Brisbane Roar
Jamie Young,Jamie Young,ENG,36-108,90,1,0,1,100,Western United,Brisbane Roar,11/12/2021,Western United
Andrew Redmayne,Andrew Redmayne,AUS,32-333,90,4,2,2,50,Central Coast Mariners,Sydney FC,12/12/2021,Sydney FC
Mark Birighitti,Mark Birighitti,AUS,30-239,90,4,0,4,100,Central Coast Mariners,Sydney FC,12/12/2021,Central Coast Mariners
James Delianov,James Delianov,AUS,22-058,90,1,1,0,0,Western United,Adelaide United,17/12/2021,Adelaide United
Jamie Young,Jamie Young,ENG,36-114,90,3,0,3,100,Western United,Adelaide United,17/12/2021,Western United
Tomás Mejías,Tomas Mejias,ESP,32-322,90,5,2,3,60,Central Coast Mariners,Western Sydney Wanderers,18/12/2021,Western Sydney Wanderers
Mark Birighitti,Mark Birighitti,AUS,30-245,90,3,0,3,100,Central Coast Mariners,Western Sydney Wanderers,18/12/2021,Central Coast Mariners
Ivan Kelava,Ivan Kelava,CRO,33-301,90,5,2,3,60,Melbourne City,Melbourne Victory,18/12/2021,Melbourne Victory
Tom Glover,Tom Glover,AUS,23-359,90,4,2,2,50,Melbourne City,Melbourne Victory,18/12/2021,Melbourne City
Jack Duncan,Jack Duncan,AUS,28-244,90,3,2,1,33.3,Macarthur FC,Newcastle Jets,19/12/2021,Newcastle Jets
Filip Kurto,Filip Kurto,POL,30-188,17,1,0,1,100,Macarthur FC,Newcastle Jets,19/12/2021,Macarthur FC
Nick Suman,Nick Suman,AUS,21-294,71,7,1,6,85.7,Macarthur FC,Newcastle Jets,19/12/2021,Macarthur FC
Oliver Sail,Oliver Sail,NZL,25-340,26,2,1,1,50,Sydney FC,Wellington Phoenix,19/12/2021,Wellington Phoenix
Alex Paulsen,Alex Paulsen,NZL,19-168,64,4,1,3,75,Sydney FC,Wellington Phoenix,19/12/2021,Wellington Phoenix
Andrew Redmayne,Andrew Redmayne,AUS,32-340,90,4,1,3,75,Sydney FC,Wellington Phoenix,19/12/2021,Sydney FC
Andrew Redmayne,Andrew Redmayne,AUS,32-347,90,4,0,3,100,Macarthur FC,Sydney FC,26/12/2021,Sydney FC
Nick Suman,Nick Suman,AUS,21-301,90,5,3,2,40,Macarthur FC,Sydney FC,26/12/2021,Macarthur FC
Jamie Young,Jamie Young,ENG,36-123,90,5,3,2,40,Melbourne Victory,Western United,26/12/2021,Western United
Ivan Kelava,Ivan Kelava,CRO,33-309,90,5,1,4,80,Melbourne Victory,Western United,26/12/2021,Melbourne Victory
Alex Paulsen,Alex Paulsen,NZL,19-181,90,9,4,7,77.8,Adelaide United,Wellington Phoenix,1/01/2022,Wellington Phoenix
James Delianov,James Delianov,AUS,22-073,30,0,0,0,,Adelaide United,Wellington Phoenix,1/01/2022,Adelaide United
Steven Hall,Steven Hall,AUS,16-350,60,3,0,3,100,Adelaide United,Wellington Phoenix,1/01/2022,Adelaide United
Joe Gauci,Joe Gauci,AUS,21-188,90,1,1,0,0,Melbourne Victory,Adelaide United,8/01/2022,Adelaide United
Ivan Kelava,Ivan Kelava,CRO,33-322,90,1,1,0,0,Melbourne Victory,Adelaide United,8/01/2022,Melbourne Victory
Tomás Mejías,Tomas Mejias,ESP,32-344,90,4,3,1,25,Melbourne City,Western Sydney Wanderers,9/01/2022,Western Sydney Wanderers
Tom Glover,Tom Glover,AUS,24-016,90,5,3,2,40,Melbourne City,Western Sydney Wanderers,9/01/2022,Melbourne City
Tom Glover,Tom Glover,AUS,24-022,90,5,2,4,60,Adelaide United,Melbourne City,15/01/2022,Melbourne City
Joe Gauci,Joe Gauci,AUS,21-195,90,6,2,4,66.7,Adelaide United,Melbourne City,15/01/2022,Adelaide United
Macklin Freke,Macklin Freke,AUS,23-009,90,3,1,2,66.7,Sydney FC,Brisbane Roar,15/01/2022,Brisbane Roar
Andrew Redmayne,Andrew Redmayne,AUS,33-002,90,6,1,5,83.3,Sydney FC,Brisbane Roar,15/01/2022,Sydney FC
Cameron Cook,Cameron Cook,AUS,20-156,90,8,1,7,87.5,Brisbane Roar,Perth Glory,19/01/2022,Perth Glory
Macklin Freke,Macklin Freke,AUS,23-013,90,1,0,1,100,Brisbane Roar,Perth Glory,19/01/2022,Brisbane Roar
Jamie Young,Jamie Young,ENG,36-149,90,4,2,2,50,Wellington Phoenix,Western United,21/01/2022,Western United
Alex Paulsen,Alex Paulsen,NZL,19-201,90,8,1,7,87.5,Wellington Phoenix,Western United,21/01/2022,Wellington Phoenix
Cameron Cook,Cameron Cook,AUS,20-159,90,2,1,2,100,Sydney FC,Perth Glory,22/01/2022,Perth Glory
Andrew Redmayne,Andrew Redmayne,AUS,33-009,90,4,2,2,50,Sydney FC,Perth Glory,22/01/2022,Sydney FC
Joe Gauci,Joe Gauci,AUS,21-203,90,1,1,0,0,Brisbane Roar,Adelaide United,23/01/2022,Adelaide United
Macklin Freke,Macklin Freke,AUS,23-017,90,4,3,3,75,Brisbane Roar,Adelaide United,23/01/2022,Brisbane Roar
Tom Glover,Tom Glover,AUS,24-030,90,2,1,1,50,Central Coast Mariners,Melbourne City,23/01/2022,Melbourne City
Mark Birighitti,Mark Birighitti,AUS,30-281,90,7,3,4,57.1,Central Coast Mariners,Melbourne City,23/01/2022,Central Coast Mariners
Tom Heward-Belle,Tom Heward-Belle,AUS,24-320,90,7,2,5,71.4,Melbourne Victory,Sydney FC,25/01/2022,Sydney FC
Ivan Kelava,Ivan Kelava,CRO,33-339,90,6,2,4,66.7,Melbourne Victory,Sydney FC,25/01/2022,Melbourne Victory
Tomás Mejías,Tomas Mejias,ESP,32-364,90,7,3,4,57.1,Brisbane Roar,Western Sydney Wanderers,29/01/2022,Western Sydney Wanderers
Macklin Freke,Macklin Freke,AUS,23-023,90,2,0,2,100,Brisbane Roar,Western Sydney Wanderers,29/01/2022,Brisbane Roar
Tom Glover,Tom Glover,AUS,24-036,90,4,1,4,75,Western United,Melbourne City,29/01/2022,Melbourne City
Jamie Young,Jamie Young,ENG,36-157,90,3,0,3,100,Western United,Melbourne City,29/01/2022,Western United
Joe Gauci,Joe Gauci,AUS,21-210,90,2,1,1,50,Newcastle Jets,Adelaide United,30/01/2022,Adelaide United
Jack Duncan,Jack Duncan,AUS,28-286,90,5,2,3,60,Newcastle Jets,Adelaide United,30/01/2022,Newcastle Jets
Mark Birighitti,Mark Birighitti,AUS,30-288,90,9,3,7,77.8,Sydney FC,Central Coast Mariners,30/01/2022,Central Coast Mariners
Tom Heward-Belle,Tom Heward-Belle,AUS,24-325,90,7,2,5,71.4,Sydney FC,Central Coast Mariners,30/01/2022,Sydney FC
Jamie Young,Jamie Young,ENG,36-160,90,9,2,7,77.8,Macarthur FC,Western United,1/02/2022,Western United
Filip Kurto,Filip Kurto,POL,30-232,90,5,2,3,60,Macarthur FC,Western United,1/02/2022,Macarthur FC
Cameron Cook,Cameron Cook,AUS,20-170,90,3,1,2,66.7,Western Sydney Wanderers,Perth Glory,2/02/2022,Perth Glory
Tomás Mejías,Tomas Mejias,ESP,33-003,90,2,0,2,100,Western Sydney Wanderers,Perth Glory,2/02/2022,Western Sydney Wanderers
Macklin Freke,Macklin Freke,AUS,23-028,90,6,2,4,66.7,Newcastle Jets,Brisbane Roar,3/02/2022,Brisbane Roar
Jack Duncan,Jack Duncan,AUS,28-290,90,2,1,1,50,Newcastle Jets,Brisbane Roar,3/02/2022,Newcastle Jets
Tom Heward-Belle,Tom Heward-Belle,AUS,24-330,90,7,1,7,85.7,Adelaide United,Sydney FC,4/02/2022,Sydney FC
Joe Gauci,Joe Gauci,AUS,21-215,90,5,2,3,60,Adelaide United,Sydney FC,4/02/2022,Adelaide United
Jamie Young,Jamie Young,ENG,36-164,90,1,0,1,100,Western Sydney Wanderers,Western United,5/02/2022,Western United
Tomás Mejías,Tomas Mejias,ESP,33-006,90,2,1,1,50,Western Sydney Wanderers,Western United,5/02/2022,Western Sydney Wanderers
Filip Kurto,Filip Kurto,POL,30-237,90,4,3,2,50,Wellington Phoenix,Macarthur FC,6/02/2022,Macarthur FC
Oliver Sail,Oliver Sail,NZL,26-024,90,7,1,6,85.7,Wellington Phoenix,Macarthur FC,6/02/2022,Wellington Phoenix
Tom Glover,Tom Glover,AUS,24-046,90,3,2,2,66.7,Newcastle Jets,Melbourne City,8/02/2022,Melbourne City
Jack Duncan,Jack Duncan,AUS,28-295,90,6,4,2,33.3,Newcastle Jets,Melbourne City,8/02/2022,Newcastle Jets
Ivan Kelava,Ivan Kelava,CRO,33-354,90,5,1,4,80,Wellington Phoenix,Melbourne Victory,9/02/2022,Melbourne Victory
Oliver Sail,Oliver Sail,NZL,26-027,90,4,0,4,100,Wellington Phoenix,Melbourne Victory,9/02/2022,Wellington Phoenix
Filip Kurto,Filip Kurto,POL,30-241,90,3,3,2,66.7,Central Coast Mariners,Macarthur FC,10/02/2022,Macarthur FC
Mark Birighitti,Mark Birighitti,AUS,30-299,90,5,3,2,40,Central Coast Mariners,Macarthur FC,10/02/2022,Central Coast Mariners
Tom Glover,Tom Glover,AUS,24-049,90,2,1,2,100,Western Sydney Wanderers,Melbourne City,11/02/2022,Melbourne City
Tomás Mejías,Tomas Mejias,ESP,33-012,90,4,3,1,25,Western Sydney Wanderers,Melbourne City,11/02/2022,Western Sydney Wanderers
Jack Duncan,Jack Duncan,AUS,28-299,90,4,1,3,75,Melbourne Victory,Newcastle Jets,12/02/2022,Newcastle Jets
Ivan Kelava,Ivan Kelava,CRO,33-357,90,1,2,0,0,Melbourne Victory,Newcastle Jets,12/02/2022,Melbourne Victory
Jamie Young,Jamie Young,ENG,36-171,90,3,1,2,66.7,Sydney FC,Western United,12/02/2022,Western United
Tom Heward-Belle,Tom Heward-Belle,AUS,24-338,90,5,1,4,80,Sydney FC,Western United,12/02/2022,Sydney FC
Joe Gauci,Joe Gauci,AUS,21-223,90,8,1,7,87.5,Wellington Phoenix,Adelaide United,12/02/2022,Adelaide United
Oliver Sail,Oliver Sail,NZL,26-030,90,4,1,3,75,Wellington Phoenix,Adelaide United,12/02/2022,Wellington Phoenix
Filip Kurto,Filip Kurto,POL,30-244,90,6,3,3,50,Brisbane Roar,Macarthur FC,13/02/2022,Macarthur FC
Macklin Freke,Macklin Freke,AUS,23-038,90,4,1,3,75,Brisbane Roar,Macarthur FC,13/02/2022,Brisbane Roar
Cameron Cook,Cameron Cook,AUS,20-181,90,6,1,5,83.3,Central Coast Mariners,Perth Glory,13/02/2022,Perth Glory
Mark Birighitti,Mark Birighitti,AUS,30-302,90,4,1,3,75,Central Coast Mariners,Perth Glory,13/02/2022,Central Coast Mariners
Joe Gauci,Joe Gauci,AUS,21-226,90,9,1,8,88.9,Melbourne City,Adelaide United,15/02/2022,Adelaide United
Tom Glover,Tom Glover,AUS,24-053,90,2,2,0,0,Melbourne City,Adelaide United,15/02/2022,Melbourne City
Macklin Freke,Macklin Freke,AUS,23-041,90,5,3,2,40,Wellington Phoenix,Brisbane Roar,16/02/2022,Brisbane Roar
Oliver Sail,Oliver Sail,NZL,26-034,90,4,0,4,100,Wellington Phoenix,Brisbane Roar,16/02/2022,Wellington Phoenix
Ivan Kelava,Ivan Kelava,CRO,33-361,90,4,2,3,75,Western Sydney Wanderers,Melbourne Victory,16/02/2022,Melbourne Victory
Daniel Margush,Daniel Margush,AUS,24-080,90,1,0,1,100,Western Sydney Wanderers,Melbourne Victory,16/02/2022,Western Sydney Wanderers
Jack Duncan,Jack Duncan,AUS,28-305,90,6,3,3,50,Melbourne City,Newcastle Jets,18/02/2022,Newcastle Jets
Tom Glover,Tom Glover,AUS,24-056,90,1,0,1,100,Melbourne City,Newcastle Jets,18/02/2022,Melbourne City
Joe Gauci,Joe Gauci,AUS,21-230,90,12,4,9,66.7,Macarthur FC,Adelaide United,19/02/2022,Adelaide United
Filip Kurto,Filip Kurto,POL,30-250,90,3,1,2,66.7,Macarthur FC,Adelaide United,19/02/2022,Macarthur FC
Mark Birighitti,Mark Birighitti,AUS,30-308,90,2,1,1,50,Melbourne Victory,Central Coast Mariners,19/02/2022,Central Coast Mariners
Ivan Kelava,Ivan Kelava,CRO,33-364,90,1,0,1,100,Melbourne Victory,Central Coast Mariners,19/02/2022,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,33-037,90,3,1,2,66.7,Wellington Phoenix,Sydney FC,19/02/2022,Sydney FC
Oliver Sail,Oliver Sail,NZL,26-037,90,8,1,7,87.5,Wellington Phoenix,Sydney FC,19/02/2022,Wellington Phoenix
Jordan Holmes,Jordan Holmes,AUS,24-288,90,2,2,1,50,Perth Glory,Brisbane Roar,20/02/2022,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,40-196,90,5,0,5,100,Perth Glory,Brisbane Roar,20/02/2022,Perth Glory
Daniel Margush,Daniel Margush,AUS,24-084,90,7,3,4,57.1,Western United,Western Sydney Wanderers,20/02/2022,Western Sydney Wanderers
