Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Jerrad Tyson,Jerrad Tyson,AUS,27-058,90,1,1,0,0,Western Sydney Wanderers,Melbourne City,18/11/2016,Western Sydney Wanderers
Danny Vukovic,Danny Vukovic,AUS,31-237,90,3,1,2,66.7,Brisbane Roar,Sydney FC,19/11/2016,Sydney FC
Michael Theo,Michael Theo,AUS,35-282,90,6,1,5,83.3,Brisbane Roar,Sydney FC,19/11/2016,Brisbane Roar
Paul Izzo,Paul Izzo,AUS,21-319,90,5,1,4,80,Newcastle Jets,Central Coast Mariners,20/11/2016,Central Coast Mariners
Jack Duncan,Jack Duncan,AUS,23-215,90,6,1,5,83.3,Newcastle Jets,Central Coast Mariners,20/11/2016,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,35-108,90,3,2,1,33.3,Central Coast Mariners,Perth Glory,24/11/2016,Perth Glory
Paul Izzo,Paul Izzo,AUS,21-323,90,5,0,5,100,Central Coast Mariners,Perth Glory,24/11/2016,Central Coast Mariners
Michael Theo,Michael Theo,AUS,35-288,90,11,1,10,90.9,Western Sydney Wanderers,Brisbane Roar,25/11/2016,Brisbane Roar
Jerrad Tyson,Jerrad Tyson,AUS,27-065,90,3,1,3,100,Western Sydney Wanderers,Brisbane Roar,25/11/2016,Western Sydney Wanderers
Jack Duncan,Jack Duncan,AUS,23-221,90,6,2,4,66.7,Melbourne Victory,Newcastle Jets,26/11/2016,Newcastle Jets
Matt Acton,Matt Acton,AUS,24-176,90,4,0,4,100,Melbourne Victory,Newcastle Jets,26/11/2016,Melbourne Victory
Eugene Galekovic,Eugene Galekovic,AUS,35-167,90,1,0,1,100,Sydney FC,Adelaide United,26/11/2016,Adelaide United
Danny Vukovic,Danny Vukovic,AUS,31-244,90,3,0,3,100,Sydney FC,Adelaide United,26/11/2016,Sydney FC
Glen Moss,Glen Moss,NZL,33-313,90,4,2,3,75,Melbourne City,Wellington Phoenix,27/11/2016,Wellington Phoenix
Dean Bouzanis,Dean Bouzanis,AUS,26-056,90,3,1,3,66.7,Melbourne City,Wellington Phoenix,27/11/2016,Melbourne City
Liam Reddy,Liam Reddy,AUS,35-116,90,4,1,3,75,Melbourne Victory,Perth Glory,2/12/2016,Perth Glory
Lawrence Thomas,Lawrence Thomas,AUS,24-207,90,2,1,1,50,Melbourne Victory,Perth Glory,2/12/2016,Melbourne Victory
Jerrad Tyson,Jerrad Tyson,AUS,27-073,59,1,1,0,0,Central Coast Mariners,Western Sydney Wanderers,3/12/2016,Western Sydney Wanderers
Andrew Redmayne,Andrew Redmayne,AUS,27-325,28,1,0,1,100,Central Coast Mariners,Western Sydney Wanderers,3/12/2016,Western Sydney Wanderers
Paul Izzo,Paul Izzo,AUS,21-332,90,8,4,4,50,Central Coast Mariners,Western Sydney Wanderers,3/12/2016,Central Coast Mariners
Michael Theo,Michael Theo,AUS,35-296,90,5,1,4,80,Melbourne City,Brisbane Roar,3/12/2016,Brisbane Roar
Dean Bouzanis,Dean Bouzanis,AUS,26-062,90,7,1,6,85.7,Melbourne City,Brisbane Roar,3/12/2016,Melbourne City
Glen Moss,Glen Moss,NZL,33-320,90,5,2,3,60,Adelaide United,Wellington Phoenix,4/12/2016,Wellington Phoenix
Eugene Galekovic,Eugene Galekovic,AUS,35-175,90,6,0,7,100,Adelaide United,Wellington Phoenix,4/12/2016,Adelaide United
Danny Vukovic,Danny Vukovic,AUS,31-252,90,0,0,0,,Newcastle Jets,Sydney FC,4/12/2016,Sydney FC
Jack Duncan,Jack Duncan,AUS,23-229,90,8,2,6,75,Newcastle Jets,Sydney FC,4/12/2016,Newcastle Jets
Dean Bouzanis,Dean Bouzanis,AUS,26-068,90,4,1,4,100,Sydney FC,Melbourne City,9/12/2016,Melbourne City
Danny Vukovic,Danny Vukovic,AUS,31-257,90,1,1,0,0,Sydney FC,Melbourne City,9/12/2016,Sydney FC
Jack Duncan,Jack Duncan,AUS,23-235,90,4,1,3,75,Perth Glory,Newcastle Jets,10/12/2016,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,35-124,90,12,2,10,83.3,Perth Glory,Newcastle Jets,10/12/2016,Perth Glory
Ivan Necevski,Ivan Necevski,AUS,36-289,90,5,3,2,40,Wellington Phoenix,Central Coast Mariners,10/12/2016,Central Coast Mariners
Glen Moss,Glen Moss,NZL,33-326,90,1,0,1,100,Wellington Phoenix,Central Coast Mariners,10/12/2016,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,24-215,90,5,0,5,100,Western Sydney Wanderers,Melbourne Victory,10/12/2016,Melbourne Victory
Andrew Redmayne,Andrew Redmayne,AUS,27-332,90,5,3,2,40,Western Sydney Wanderers,Melbourne Victory,10/12/2016,Western Sydney Wanderers
Eugene Galekovic,Eugene Galekovic,AUS,35-182,90,3,4,0,0,Brisbane Roar,Adelaide United,11/12/2016,Adelaide United
Jamie Young,Jamie Young,ENG,31-108,90,3,0,3,100,Brisbane Roar,Adelaide United,11/12/2016,Brisbane Roar
Eugene Galekovic,Eugene Galekovic,AUS,35-187,90,6,2,4,66.7,Newcastle Jets,Adelaide United,16/12/2016,Adelaide United
Jack Duncan,Jack Duncan,AUS,23-241,90,3,1,2,66.7,Newcastle Jets,Adelaide United,16/12/2016,Newcastle Jets
Lawrence Thomas,Lawrence Thomas,AUS,24-222,90,4,1,3,75,Melbourne City,Melbourne Victory,17/12/2016,Melbourne Victory
Dean Bouzanis,Dean Bouzanis,AUS,26-076,90,6,2,4,66.7,Melbourne City,Melbourne Victory,17/12/2016,Melbourne City
Danny Vukovic,Danny Vukovic,AUS,31-265,90,5,1,4,80,Perth Glory,Sydney FC,17/12/2016,Sydney FC
Liam Reddy,Liam Reddy,AUS,35-131,90,5,4,2,40,Perth Glory,Sydney FC,17/12/2016,Perth Glory
Jerrad Tyson,Jerrad Tyson,AUS,27-087,90,1,2,0,0,Wellington Phoenix,Western Sydney Wanderers,17/12/2016,Western Sydney Wanderers
Glen Moss,Glen Moss,NZL,33-333,90,6,2,5,66.7,Wellington Phoenix,Western Sydney Wanderers,17/12/2016,Wellington Phoenix
Michael Theo,Michael Theo,AUS,35-311,90,6,1,5,83.3,Central Coast Mariners,Brisbane Roar,18/12/2016,Brisbane Roar
Paul Izzo,Paul Izzo,AUS,21-347,90,8,2,6,75,Central Coast Mariners,Brisbane Roar,18/12/2016,Central Coast Mariners
Jerrad Tyson,Jerrad Tyson,AUS,27-093,90,3,1,2,66.7,Brisbane Roar,Western Sydney Wanderers,23/12/2016,Western Sydney Wanderers
Michael Theo,Michael Theo,AUS,35-316,90,2,1,1,50,Brisbane Roar,Western Sydney Wanderers,23/12/2016,Brisbane Roar
Danny Vukovic,Danny Vukovic,AUS,31-274,90,4,0,4,100,Adelaide United,Sydney FC,26/12/2016,Sydney FC
Eugene Galekovic,Eugene Galekovic,AUS,35-197,90,5,4,1,20,Adelaide United,Sydney FC,26/12/2016,Adelaide United
Glen Moss,Glen Moss,NZL,33-342,90,9,2,7,77.8,Newcastle Jets,Wellington Phoenix,26/12/2016,Wellington Phoenix
Jack Duncan,Jack Duncan,AUS,23-251,90,5,2,3,60,Newcastle Jets,Wellington Phoenix,26/12/2016,Newcastle Jets
Liam Reddy,Liam Reddy,AUS,35-141,90,8,3,7,75,Melbourne City,Perth Glory,27/12/2016,Perth Glory
Dean Bouzanis,Dean Bouzanis,AUS,26-086,90,6,3,3,50,Melbourne City,Perth Glory,27/12/2016,Melbourne City
Paul Izzo,Paul Izzo,AUS,21-357,90,12,4,8,66.7,Melbourne Victory,Central Coast Mariners,28/12/2016,Central Coast Mariners
Lawrence Thomas,Lawrence Thomas,AUS,24-233,90,5,1,4,80,Melbourne Victory,Central Coast Mariners,28/12/2016,Melbourne Victory
Michael Theo,Michael Theo,AUS,35-323,90,6,2,4,66.7,Sydney FC,Brisbane Roar,30/12/2016,Brisbane Roar
Danny Vukovic,Danny Vukovic,AUS,31-278,90,8,0,8,100,Sydney FC,Brisbane Roar,30/12/2016,Sydney FC
Dean Bouzanis,Dean Bouzanis,AUS,26-090,90,4,2,2,50,Central Coast Mariners,Melbourne City,31/12/2016,Melbourne City
Paul Izzo,Paul Izzo,AUS,21-360,90,2,2,1,50,Central Coast Mariners,Melbourne City,31/12/2016,Central Coast Mariners
Eugene Galekovic,Eugene Galekovic,AUS,35-203,90,8,0,8,100,Wellington Phoenix,Adelaide United,1/01/2017,Adelaide United
Glen Moss,Glen Moss,NZL,33-348,90,0,0,0,,Wellington Phoenix,Adelaide United,1/01/2017,Wellington Phoenix
Liam Reddy,Liam Reddy,AUS,35-146,90,3,1,2,66.7,Western Sydney Wanderers,Perth Glory,1/01/2017,Perth Glory
