Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Stefan Mauk,6,au AUS,AM,29-147,72,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Ryan White,44,au AUS,MF,20-289,18,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Zach Clough,10,eng ENG,AM,30-000,66,0,0,0,0,0,0,0,0,0,2,0,7,0,2,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Yaya Dukuly,19,au AUS,FW,22-050,24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Jay Barnett,14,au AUS,DM,24-022,90,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Ethan Alagich,55,au AUS,DM,21-080,83,0,0,0,0,1,0,0,0,0,1,0,3,3,1,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Luka Jovanovic,9,au AUS,FW,19-292,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Ryan Kitto,7,au AUS,LB,30-211,90,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Panagiotis Kikianis,51,au AUS,CB,20-000,90,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Bart Vriends,3,nl NED,CB,33-303,90,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Harry Crawford,58,au AUS,RB,18-238,69,1,0,0,0,2,1,0,0,0,1,0,1,1,1,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Dylan Pierias,20,au AUS,"DF,MF",25-016,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
James Delianov,1,au AUS,GK,25-139,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Chris Ikonomidis,9,au AUS,FW,29-307,62,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Harry Sawyer,28,au AUS,FW,28-066,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Marin Jakolis,44,hr CRO,FW,28-071,90,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Saif-Eddine Khaoui,95,tn TUN,FW,29-314,45,0,0,0,0,1,1,0,0,2,2,0,0,2,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Liam Rose,22,au AUS,"DF,MF",27-334,45,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Ivan Vujica,13,au AUS,LM,27-321,90,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Luke Brattan,26,au AUS,CM,34-364,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Jake Hollmann,8,au AUS,CM,23-193,63,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Peter Makrillos,11,au AUS,MF,29-184,27,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Kealey Adamson,20,au AUS,RM,21-363,82,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Yianni Nicolaou,33,au AUS,DF,25-061,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Matthew Jurman,5,au AUS,CB,35-089,62,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Dean Bosnjak,24,au AUS,FW,18-147,28,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Kevin Boli,39,fr FRA,CB,33-259,90,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Tomislav Uskok,6,au AUS,CB,33-258,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Filip Kurto,12,pl POL,GK,33-266,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Max Caputo,17,au AUS,FW,19-202,84,2,0,1,1,4,3,1,0,4,0,0,0,1,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Michael Ghossaini,50,,FW,,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Andreas Kuen,30,at AUT,AM,29-348,74,0,0,0,0,1,0,0,0,1,3,0,2,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Steven Ugarkovic,6,au AUS,MF,30-200,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Kavian Rahmani,47,au AUS,DM,18-068,61,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Harry Politidis,38,au AUS,DF,22-252,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Kai Trewin,27,au AUS,DM,23-293,90,0,0,0,0,2,0,0,0,1,3,0,0,2,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Mathew Leckie,7,au AUS,DM,34-031,84,0,0,0,0,1,0,0,0,4,2,0,0,1,1,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Lawrence Wong,41,au AUS,MF,17-152,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Marco Tilio,23,au AUS,DM,23-196,74,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Yonatan Cohen,10,il ISR,"FW,MF",28-251,16,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Aziz Behich,16,au AUS,LB,34-081,90,0,0,0,0,1,0,0,0,1,2,0,2,1,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Samuel Souprayen,26,fr FRA,CB,36-017,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
German Ferreyra,22,ar ARG,CB,29-053,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Nathaniel Atkinson,13,au AUS,RB,25-267,90,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Patrick Beach,33,au AUS,GK,21-213,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Vitor Feijao,11,br BRA,FW,28-219,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Nicholas Duarte,29,au AUS,MF,21-082,45,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Mikael Doka,10,br BRA,AM,25-043,90,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Lucas Mauragis,12,au AUS,DM,23-185,72,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Abdelelah Faisal,21,au AUS,FW,19-132,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Harrison Steele,16,au AUS,DM,22-147,90,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Haine Eames,36,au AUS,DM,17-009,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Miguel Di Pizio,23,au AUS,DM,19-063,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Christian Theoharous,7,au AUS,"FW,MF",25-092,45,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Nathan Paull,33,au AUS,LB,21-199,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Brian Kaltack,3,vu VAN,CB,31-159,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Trent Sainsbury,4,au AUS,CB,33-062,72,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Diesel Herrington,24,au AUS,DF,20-334,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Storm Roux,15,nz NZL,RB,32-054,45,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Sasha Kuzevski,27,au AUS,MF,23-346,45,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Dylan Peraic-Cullen,40,au AUS,GK,18-226,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Bruno Fornaroli,10,au AUS,FW,37-182,84,1,0,0,0,5,2,0,0,0,1,0,0,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Nikos Vergos,9,gr GRE,FW,29-054,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Nishan Velupillay,17,au AUS,AM,23-305,74,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Zinedine Machach,8,fr FRA,"FW,MF",29-062,16,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Reno Piscopo,27,au AUS,AM,26-285,74,0,0,0,0,5,0,0,0,1,0,0,6,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Santos,11,br BRA,FW,23-224,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Daniel Arzani,7,au AUS,AM,26-063,64,0,0,0,0,2,1,0,0,0,2,0,2,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Alex Badolato,23,au AUS,MF,20-013,26,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Jordi Valadon,14,au AUS,DM,22-004,90,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Ryan Teague,6,au AUS,DM,23-043,90,0,0,0,0,2,0,0,0,1,2,0,3,1,4,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Kasey Bos,28,au AUS,LB,20-304,90,0,0,0,0,1,0,0,0,0,2,0,1,4,1,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Roderick Miranda,21,pt POR,CB,33-343,63,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Lachlan Jackson,4,au AUS,DF,29-361,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Brendan Hamill,5,au AUS,CB,32-171,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Joshua Rawlins,22,au AUS,RB,20-319,90,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Mitchell Langerak,1,au AUS,GK,36-198,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Jesse Randall,21,nz NZL,FW,22-202,67,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Cameron Howieson,7,nz NZL,MF,30-077,23,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Guillermo May,10,uy URU,FW,26-363,90,0,0,0,0,4,2,0,0,2,1,0,1,2,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Neyder Moreno,25,co COL,LM,28-028,45,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Marlee Francois,11,au AUS,FW,22-070,45,0,0,0,0,2,2,0,0,0,1,0,1,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Felipe Gallegos,28,cl CHI,CM,33-096,67,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Callan Elliot,17,nz NZL,DF,25-245,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Jake Brimmer,22,au AUS,CM,26-340,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Louis Verstraete,6,be BEL,MF,25-309,29,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Logan Rogerson,27,nz NZL,RM,26-285,79,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Luis Toomey,8,nz NZL,MF,23-251,11,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Francis de Vries,15,nz NZL,LB,30-101,90,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Nando Pijnaker,4,nz NZL,CB,26-012,90,0,0,0,0,3,2,1,0,3,1,0,0,0,1,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Tommy Smith,5,nz NZL,CB,34-343,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Hiroki Sakai,2,jp JPN,RB,34-331,90,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Alex Paulsen,12,nz NZL,GK,22-248,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Lachlan Rose,9,au AUS,FW,25-303,79,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Justin Vidic,29,au AUS,FW,20-314,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Clayton Taylor,13,au AUS,AM,21-008,79,0,1,0,0,0,0,0,0,0,2,1,3,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Wellissol,10,br BRA,FW,27-021,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Eli Adams,7,au AUS,AM,22-362,90,1,0,0,0,4,3,0,0,0,3,0,0,2,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Daniel Wilmering,23,au AUS,DM,24-080,90,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Lachlan Bayliss,37,au AUS,DM,22-228,68,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Charles MMombwa,20,tz TAN,MF,26-360,22,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Callum Timmins,19,au AUS,DM,25-076,80,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Aleksandar Susnjar,15,au AUS,DF,29-202,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Kota Mizunuma,18,jp JPN,DM,35-015,60,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Dane Ingham,14,nz NZL,DF,25-274,30,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Mark Natta,33,au AUS,CB,22-101,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Kostandinos Grozos,17,au AUS,CB,24-211,90,0,0,0,1,2,1,0,0,0,1,0,1,2,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Thomas Aquilina,39,au AUS,CB,24-035,90,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Noah James,21,au AUS,GK,24-023,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Marco Rojas,21,nz NZL,FW,33-123,56,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Luke Brooke-Smith,29,nz NZL,MF,16-275,34,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Kosta Barbarouses,7,nz NZL,FW,35-017,90,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Francisco Geraldes,12,pt POR,LM,29-324,65,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Hideki Ishige,9,jp JPN,MF,30-168,25,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Matthew Sheridan,27,nz NZL,CM,20-303,66,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Kazuki Nagasawa,25,jp JPN,MF,33-082,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Alex Rufer,14,nz NZL,CM,28-269,66,0,0,0,0,1,0,1,0,1,1,0,0,1,2,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Paulo Retre,8,au AUS,"DF,MF",32-004,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Tim Payne,6,nz NZL,RM,31-057,90,0,1,0,0,0,0,0,0,0,1,0,0,4,1,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Sam Sutton,19,nz NZL,LB,23-088,90,0,0,0,0,2,0,0,0,0,0,0,3,1,2,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Isaac Hughes,15,nz NZL,CB,20-348,90,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Scott Wootton,4,eng ENG,CB,33-177,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Corban Piper,3,nz NZL,RB,22-179,66,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Nathan Walker,41,nz NZL,FW,19-037,24,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Albert Kelly-Heald,30,nz NZL,GK,19-355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Hiroshi Ibusuki,9,jp JPN,FW,34-009,71,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Michael Ruhs,24,au AUS,FW,22-193,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Noah Botic,19,au AUS,FW,23-056,77,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Jake Najdovski,14,au AUS,FW,19-359,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Riku Danzaki,77,jp JPN,LM,24-281,71,0,2,0,0,3,1,0,0,1,1,0,3,1,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Luke Vickery,37,au AUS,FW,19-134,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Western United,Wellington Phoenix,8/03/2025,Western United
Angus Thurgate,32,au AUS,CM,25-028,90,0,1,0,0,0,0,1,0,3,1,0,7,0,1,0,Western United,Wellington Phoenix,8/03/2025,Western United
Rhys Bozinovski,23,au AUS,CM,21-001,63,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Jordan Lauton,44,au AUS,MF,21-341,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Matthew Grimaldi,10,au AUS,RM,21-100,77,2,0,0,0,6,4,0,0,0,0,0,1,0,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Ramy Najjarine,7,au AUS,MF,24-319,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
Charbel Shamoon,29,iq IRQ,LB,21-026,90,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,Western United,Wellington Phoenix,8/03/2025,Western United
Dylan Leonard,30,au AUS,CB,17-298,90,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
