Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,date,player_team,date,player_team
Haine Eames,36,au AUS,CM,17-001,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Christian Theoharous,7,au AUS,RM,25-084,58,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Abdelelah Faisal,21,au AUS,FW,19-124,32,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Lucas Mauragis,12,au AUS,LB,23-177,90,0,0,0,0,0,0,0,0,1,2,0,5,3,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Nathan Paull,33,au AUS,CB,21-191,79,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Diesel Herrington,24,au AUS,DF,20-326,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Brian Kaltack,3,vu VAN,CB,31-151,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Sasha Kuzevski,27,au AUS,RB,23-338,90,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Dylan Peraic-Cullen,40,au AUS,GK,18-218,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Coast Mariners,Western United,28/02/2025,Central Coast Mariners
Patryk Klimala,9,pl POL,FW,26-208,67,1,0,0,0,7,4,0,0,0,0,0,0,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Adrian Segecic,7,au AUS,MF,20-273,23,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Douglas Costa,11,br BRA,FW,34-168,84,0,0,0,0,7,2,0,0,1,2,1,5,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Jaiden Kucharski,25,au AUS,DF,22-249,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Anthony Caceres,17,au AUS,LM,32-153,90,0,0,0,0,1,0,0,0,4,1,0,1,4,2,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Leo Sena,15,br BRA,CM,29-060,90,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Wataru Kamijo,24,au AUS,CM,18-318,58,0,0,0,0,1,0,1,0,1,1,0,0,2,2,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Corey Hollman,6,au AUS,MF,21-157,32,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Joe Lolley,10,eng ENG,RM,32-188,90,0,1,0,0,6,2,0,0,0,1,0,3,0,2,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Jordan Courtney-Perkins,4,au AUS,LB,22-115,90,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Alex Grant,5,au AUS,CB,31-037,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Rhyan Grant,23,au AUS,CB,34-003,90,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Joel King,16,au AUS,RB,24-122,90,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Harrison Devenish-Meares,12,au AUS,GK,28-125,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Sydney FC
Harry Sawyer,28,au AUS,FW,28-060,55,0,0,0,0,2,0,0,0,3,1,2,0,1,0,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Saif-Eddine Khaoui,95,tn TUN,"FW,MF",29-308,35,0,0,0,0,0,0,0,0,0,1,1,5,3,3,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Daniel De Silva,7,au AUS,AM,27-360,54,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Jake Hollmann,8,au AUS,MF,23-187,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Marin Jakolis,44,hr CRO,DM,28-065,90,0,0,0,0,0,0,0,0,1,0,3,5,0,1,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Luke Brattan,26,au AUS,DM,34-358,90,0,0,0,0,0,0,1,0,4,2,0,1,2,1,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Liam Rose,22,au AUS,DM,27-328,71,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Peter Makrillos,11,au AUS,MF,29-178,19,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Chris Ikonomidis,9,au AUS,DM,29-301,71,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Yianni Nicolaou,33,au AUS,DF,25-055,19,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Ivan Vujica,13,au AUS,LB,27-315,71,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Matthew Jurman,5,au AUS,DF,35-083,19,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Kevin Boli,39,fr FRA,CB,33-253,90,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Tomislav Uskok,6,au AUS,CB,33-252,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Kealey Adamson,20,au AUS,RB,21-357,90,0,0,0,0,1,1,0,0,0,1,0,5,2,1,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Filip Kurto,12,pl POL,GK,33-260,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Macarthur FC,Sydney FC,1/03/2025,Macarthur FC
Andreas Kuen,30,at AUT,FW,29-341,87,0,1,0,0,2,0,0,0,4,1,0,12,2,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Lawrence Wong,41,au AUS,MF,17-145,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Max Caputo,17,au AUS,FW,19-195,87,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Benjamin Mazzeo,46,au AUS,FW,19-231,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Kavian Rahmani,47,au AUS,AM,18-061,69,0,0,0,0,1,0,0,0,0,1,0,2,4,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Harry Politidis,38,au AUS,DF,22-245,21,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Zane Schreiber,19,au AUS,AM,19-273,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Mathew Leckie,7,au AUS,"FW,MF",34-024,45,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Marco Tilio,23,au AUS,AM,23-189,90,1,0,0,0,6,2,0,0,1,0,0,3,3,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Kai Trewin,27,au AUS,DM,23-286,90,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Aziz Behich,16,au AUS,LB,34-074,90,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Samuel Souprayen,26,fr FRA,CB,36-010,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
German Ferreyra,22,ar ARG,CB,29-046,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Nathaniel Atkinson,13,au AUS,RB,25-260,90,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Patrick Beach,33,au AUS,GK,21-206,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Melbourne City
Kosta Barbarouses,7,nz NZL,FW,35-009,90,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Nathan Walker,41,nz NZL,AM,19-029,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Luke Brooke-Smith,29,nz NZL,MF,16-267,32,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Francisco Geraldes,12,pt POR,AM,29-316,71,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Marco Rojas,21,nz NZL,"FW,MF",33-115,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Matthew Sheridan,27,nz NZL,DM,20-295,90,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Alex Rufer,14,nz NZL,DM,28-261,86,0,0,0,0,0,0,1,0,2,3,0,0,4,3,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Hideki Ishige,9,jp JPN,MF,30-160,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Paulo Retre,8,au AUS,DM,31-361,58,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Corban Piper,3,nz NZL,DF,22-171,32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Sam Sutton,19,nz NZL,LB,23-080,90,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Scott Wootton,4,eng ENG,CB,33-169,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Isaac Hughes,15,nz NZL,CB,20-340,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Tim Payne,6,nz NZL,RB,31-049,86,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Lukas Kelly-Heald,18,nz NZL,DF,19-347,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Albert Kelly-Heald,30,nz NZL,GK,19-347,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Wellington Phoenix,Melbourne City,28/02/2025,Wellington Phoenix
Patrick Wood,23,au AUS,FW,22-167,69,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Joel Anasmo,31,,MF,,21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Adam Taggart,22,au AUS,FW,31-273,90,1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Lachlan Wales,18,au AUS,LM,27-134,79,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Nathanael Blair,14,au AUS,FW,20-352,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
