gameId,gameTimeLocal,gameTimeUTC,duration,gameCode,gameStatusText,gameStatus,regulationPeriods,period,arenaId,arenaName,arenaCity,arenaState,arenaCountry,arenaTimezone,teamId,teamName,teamCity,teamTricode,score,teamStatus,status,order,personId,jerseyNum,position,starter,oncourt,played,name,nameI,firstName,familyName,statistics.assists,statistics.blocks,statistics.blocksReceived,statistics.fieldGoalsAttempted,statistics.fieldGoalsMade,statistics.fieldGoalsPercentage,statistics.foulsOffensive,statistics.foulsDrawn,statistics.foulsPersonal,statistics.foulsTechnical,statistics.freeThrowsAttempted,statistics.freeThrowsMade,statistics.freeThrowsPercentage,statistics.minus,statistics.minutes,statistics.minutesCalculated,statistics.plus,statistics.plusMinusPoints,statistics.points,statistics.pointsFastBreak,statistics.pointsInThePaint,statistics.pointsSecondChance,statistics.reboundsDefensive,statistics.reboundsOffensive,statistics.reboundsTotal,statistics.steals,statistics.threePointersAttempted,statistics.threePointersMade,statistics.threePointersPercentage,statistics.turnovers,statistics.twoPointersAttempted,statistics.twoPointersMade,statistics.twoPointersPercentage,notPlayingReason,notPlayingDescription
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,5,1630559,15,PG,1,0,1,Austin Reaves,A. Reaves,Austin,Reaves,2,0,1,12,6,0.5,0,2,0,0,1,1,1.0,79.0,PT30M36.97S,PT31M,63.0,-16.0,15,0,8,2,2,1,3,2,6,2,0.333333333333333,1,6,4,0.666666666666666,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,6,1626156,1,,0,1,1,D'Angelo Russell,D. Russell,D'Angelo,Russell,4,0,0,13,5,0.384615384615385,0,5,1,0,8,5,0.625,77.0,PT28M48.00S,PT29M,54.0,-23.0,16,0,8,0,3,0,3,1,6,1,0.166666666666667,1,7,4,0.5714285714285711,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,7,1642261,4,,0,0,1,Dalton Knecht,D. Knecht,Dalton,Knecht,0,0,0,7,2,0.28571428571428603,0,1,0,0,3,2,0.666666666666666,54.0,PT19M25.00S,PT19M,34.0,-20.0,7,0,2,0,3,1,4,0,4,1,0.25,0,3,1,0.333333333333333,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,8,1631108,12,,0,1,1,Max Christie,M. Christie,Max,Christie,1,1,0,1,1,1.0,0,1,2,0,0,0,0.0,40.0,PT13M36.00S,PT13M,31.0,-9.0,2,0,2,0,0,0,0,0,0,0,0.0,0,1,1,1.0,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,9,1629637,11,,0,0,1,Jaxson Hayes,J. Hayes,Jaxson,Hayes,0,0,0,2,2,1.0,0,2,1,0,4,3,0.75,41.0,PT16M52.03S,PT17M,33.0,-8.0,7,0,4,2,2,2,4,1,0,0,0.0,2,2,2,1.0,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,10,1629216,7,,0,1,1,Gabe Vincent,G. Vincent,Gabe,Vincent,1,1,0,4,1,0.25,0,0,0,0,0,0,0.0,30.0,PT14M06.00S,PT14M,34.0,4.0,3,0,0,0,2,0,2,0,4,1,0.25,0,0,0,0.0,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,ACTIVE,11,1631132,10,,0,1,1,Christian Koloko,C. Koloko,Christian,Koloko,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4.0,PT01M03.00S,PT01M,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,INACTIVE,12,1641720,0,,0,0,0,Jalen Hood-Schifino,J. Hood-Schifino,Jalen,Hood-Schifino,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_GLEAGUE_ON_ASSIGNMENT,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,INACTIVE,13,1642355,9,,0,0,0,Bronny James,B. James,Bronny,James,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_INJURY,Left Heel; Contusion
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,INACTIVE,14,1641721,20,,0,0,0,Maxwell Lewis,M. Lewis,Maxwell,Lewis,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_COACH,
