DATE,HOME_TEAM,AWAY_TEAM,HOME_HT_SCORE,AWAY_HT_SCORE
24/02/2018,Melbourne Victory,Adelaide United,2,0
24/02/2018,Perth Glory,Melbourne City,0,1
25/02/2018,Sydney FC,Western Sydney Wanderers,1,1
2/03/2018,Melbourne City,Melbourne Victory,0,1
3/03/2018,Brisbane Roar,Adelaide United,1,0
3/03/2018,Newcastle Jets,Sydney FC,1,0
4/03/2018,Western Sydney Wanderers,Perth Glory,1,1
10/03/2018,Perth Glory,Central Coast Mariners,1,0
10/03/2018,Western Sydney Wanderers,Wellington Phoenix,1,1
16/03/2018,Adelaide United,Melbourne City,1,0
17/03/2018,Sydney FC,Brisbane Roar,0,2
17/03/2018,Wellington Phoenix,Newcastle Jets,0,1
18/03/2018,Melbourne Victory,Central Coast Mariners,2,0
23/03/2018,Adelaide United,Newcastle Jets,2,0
24/03/2018,Central Coast Mariners,Sydney FC,0,1
24/03/2018,Melbourne City,Western Sydney Wanderers,1,0
25/03/2018,Perth Glory,Melbourne Victory,1,0
25/03/2018,Wellington Phoenix,Brisbane Roar,0,0
29/03/2018,Perth Glory,Sydney FC,0,3
30/03/2018,Adelaide United,Wellington Phoenix,1,0
31/03/2018,Brisbane Roar,Central Coast Mariners,1,0
31/03/2018,Melbourne Victory,Western Sydney Wanderers,2,1
1/04/2018,Newcastle Jets,Melbourne City,0,1
6/04/2018,Newcastle Jets,Perth Glory,0,2
7/04/2018,Melbourne City,Central Coast Mariners,0,0
7/04/2018,Western Sydney Wanderers,Brisbane Roar,3,0
8/04/2018,Melbourne Victory,Wellington Phoenix,0,1
8/04/2018,Sydney FC,Adelaide United,1,0
13/04/2018,Sydney FC,Melbourne Victory,1,0
14/04/2018,Central Coast Mariners,Newcastle Jets,1,3
14/04/2018,Perth Glory,Brisbane Roar,1,2
14/04/2018,Wellington Phoenix,Melbourne City,1,1
15/04/2018,Western Sydney Wanderers,Adelaide United,2,2
20/04/2018,Melbourne City,Brisbane Roar,0,0
22/04/2018,Melbourne Victory,Adelaide United,0,0
27/04/2018,Newcastle Jets,Melbourne City,0,1
28/04/2018,Sydney FC,Melbourne Victory,1,1
5/05/2018,Newcastle Jets,Melbourne Victory,0,1
19/10/2018,Adelaide United,Sydney FC,1,0
20/10/2018,Melbourne Victory,Melbourne City,1,1
21/10/2018,Brisbane Roar,Central Coast Mariners,0,1
21/10/2018,Perth Glory,Western Sydney Wanderers,1,0
21/10/2018,Wellington Phoenix,Newcastle Jets,1,0
26/10/2018,Adelaide United,Newcastle Jets,0,0
