Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,date,player_team,date,player_team
Lawrence Thomas,20,au AUS,GK,32-289,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Western Sydney Wanderers
Alou Kuol,9,au AUS,FW,24-148,74,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Arthur de Lima,35,au AUS,MF,17-256,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Miguel Di Pizio,23,au AUS,FW,19-049,45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Christian Theoharous,7,au AUS,"FW,MF",25-078,45,0,0,0,0,0,0,0,0,2,2,0,2,4,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Mikael Doka,10,br BRA,FW,25-029,90,0,0,0,0,4,1,0,0,0,1,1,12,0,1,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Lucas Mauragis,12,au AUS,LM,23-171,90,0,0,0,0,3,0,0,0,0,2,1,4,2,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Harrison Steele,16,au AUS,CM,22-133,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Haine Eames,36,au AUS,CM,16-361,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Alfie McCalmont,8,nir NIR,MF,24-334,45,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
Storm Roux,15,nz NZL,RM,32-040,52,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,Central Coast Mariners,Western Sydney Wanderers,22/02/2025,Central Coast Mariners
