Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,date,player_team,date,player_team
Josh Risdon,19,au AUS,"DF,MF",32-210,45,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Tomislav Mrcela,29,au AUS,CB,34-144,90,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Takuya Okamoto,36,jp JPN,RB,32-249,81,0,0,0,0,1,1,0,0,3,3,0,9,3,1,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Joel Anasmo,31,,MF,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Oliver Sail,1,nz NZL,GK,29-040,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perth Glory,Sydney FC,22/02/2025,Perth Glory
Archie Goodwin,26,au AUS,FW,20-108,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Amlani Tatu,74,au AUS,FW,17-047,24,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Yaya Dukuly,19,au AUS,AM,22-037,88,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Luke Duzel,23,au AUS,MF,23-018,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Stefan Mauk,6,au AUS,AM,29-134,90,0,0,0,0,0,0,1,0,2,4,0,0,1,1,0,Western United,Adelaide United,23/02/2025,Adelaide United
Zach Clough,10,eng ENG,AM,29-352,66,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Austin Ayoubi,42,au AUS,FW,23-211,24,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Ryan White,44,au AUS,DM,20-276,90,0,0,0,0,2,0,0,0,0,2,0,0,2,1,0,Western United,Adelaide United,23/02/2025,Adelaide United
Jay Barnett,14,au AUS,DM,24-009,82,0,0,0,0,1,0,0,0,2,1,0,0,1,3,0,Western United,Adelaide United,23/02/2025,Adelaide United
Ben Folami,17,au AUS,MF,25-260,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Ethan Alagich,55,au AUS,LB,21-067,90,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Isaias Sanchez,8,es ESP,CB,38-014,88,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,Western United,Adelaide United,23/02/2025,Adelaide United
Jordan Elsey,4,au AUS,DF,30-358,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Adelaide United
Bart Vriends,3,nl NED,CB,33-290,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,Western United,Adelaide United,23/02/2025,Adelaide United
Harry Crawford,58,au AUS,RB,18-225,90,0,0,0,0,2,0,0,0,2,0,0,1,2,3,0,Western United,Adelaide United,23/02/2025,Adelaide United
Ethan Cox,40,au AUS,GK,21-047,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Western United,Adelaide United,23/02/2025,Adelaide United
Hiroshi Ibusuki,9,jp JPN,FW,33-362,86,1,0,1,1,4,3,0,0,0,1,0,0,1,0,0,Western United,Adelaide United,23/02/2025,Western United
Ramy Najjarine,7,au AUS,MF,24-306,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Western United,Adelaide United,23/02/2025,Western United
Noah Botic,19,au AUS,FW,23-043,79,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,Western United,Adelaide United,23/02/2025,Western United
Michael Ruhs,24,au AUS,FW,22-180,11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Western United
Abel Walatee,20,au AUS,LM,21-001,80,0,0,0,0,5,4,0,0,1,4,0,1,2,1,0,Western United,Adelaide United,23/02/2025,Western United
Luke Vickery,37,au AUS,FW,19-121,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Western United
Angus Thurgate,32,au AUS,CM,25-015,90,0,0,0,0,0,0,0,0,2,1,0,7,2,1,0,Western United,Adelaide United,23/02/2025,Western United
Rhys Bozinovski,23,au AUS,CM,20-353,86,0,0,0,0,3,1,1,0,2,0,0,0,2,0,0,Western United,Adelaide United,23/02/2025,Western United
Jordan Lauton,44,au AUS,MF,21-328,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Western United
Matthew Grimaldi,10,au AUS,RM,21-087,69,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,Western United,Adelaide United,23/02/2025,Western United
Riku Danzaki,77,jp JPN,MF,24-268,21,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Western United
Ben Garuccio,17,au AUS,LB,29-253,90,0,1,0,0,0,0,0,0,1,2,0,9,1,2,0,Western United,Adelaide United,23/02/2025,Western United
Dylan Leonard,30,au AUS,CB,17-285,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Western United
Tomoki Imai,6,jp JPN,CB,34-086,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Western United,Adelaide United,23/02/2025,Western United
Tate Russell,13,au AUS,RB,25-183,90,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,Western United,Adelaide United,23/02/2025,Western United
Matthew Sutton,33,au AUS,GK,24-353,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western United,Adelaide United,23/02/2025,Western United
